"spec_id","surface","page_id","audience","business_job","required_fields","primary_controls","trust_rule","seo_owner_rule","lead_rule","status"
"PD-001","Professionals hub","professionals_hub","Israeli buyers, sellers, investors, contractors","Let a user choose the right professional category by transaction stage, city, language, and verification level.","category, city, service_stage, language, verification_status, disclosure_status, updated_at","category tiles, city selector, language selector, transaction-stage selector, verification explainer","Show only category-level claims until enough verified profiles exist.","The hub targets professional navigation intent, not city money keywords.","Leads route through a neutral category intake unless a verified profile is selected.","build_ready_spec_not_implemented"
"PD-002","Category directory","professional_category","Users looking for a specific service type","Convert service intent into verified profile discovery without fake recommendations.","category, specialties, cities_served, languages, credentials, review_status, contact_channels","filters, sort by verified fit, profile cards, empty state, disclosure drawer","No rating, recommendation, or review count unless backed by real review data and moderation policy.","Category page owns broad service intent such as lawyers, appraisers, mortgage advisors, inspectors.","If profile is unclaimed or not approved, lead routes to category intake, not directly to the professional.","build_ready_spec_not_implemented"
"PD-003","City category directory","professional_city_category","Local buyers and sellers","Match a service type to a city or metro area while avoiding thin city pages.","category, city, area, proximity_note, profiles_count, verification_coverage, source_date","city filter, nearby areas, verified-only toggle, language toggle, transaction-stage filter","Index only when there are enough verified profiles or a useful city-specific explanation.","City-category page owns local service intent only, not apartment/project intent.","Route leads to verified local profiles first; otherwise show missing-supply request form.","build_ready_spec_not_implemented"
"PD-004","Professional profile","professional_profile","Users considering one provider","Show a verified, current, disclosure-safe provider profile with contact options and limitations.","display_name, category, license_or_credential, verification_status, languages, service_areas, disclosures, contact_methods, review_dates","call, WhatsApp, form, save, report issue, claim profile","Do not publish strong credentials until reviewed against the relevant official source or professional document.","Profile targets provider/entity intent, not the city money keyword by itself.","Contact is logged with source surface, page family, professional id, and user consent state.","build_ready_spec_not_implemented"
"PD-005","Project detail module","project_detail","Project buyers and contractors","Suggest relevant professional help from the project context without stealing the project lead.","project reference, city, transaction stage, category links, verified profiles, disclosure status","contextual category chips, small profile rail, lead split choice","Provider rail is secondary to the project decision flow and must not hide project CTAs.","Project page remains canonical for project demand; professional module links to service pages as support.","Lead modal asks whether the user wants project info, professional help, or both.","build_ready_spec_not_implemented"
"PD-006","Unit/showroom module","showroom_unit","Buyers viewing a unit","Offer help for legal review, mortgage, appraisal, inspection, design, and remote purchase at the right moment.","unit_context, stage, budget_band_optional, categories_available, verified_profiles","stage-based helper tray, category CTA, no-intrusion contact dock","Only show professional assistance after a clear unit or project context exists.","Showroom does not target professional keywords; it links to relevant service pages.","Professional lead keeps project and unit context only when user submits consent.","build_ready_spec_not_implemented"
"PD-007","Guide support module","guides","Users reading advice","Route informational readers to the right service category without cannibalizing the guide.","guide_id, canonical_money_page, related_category, disclaimer_status, review_date","inline support box, end-of-guide CTA, expert-review note","Legal, tax, finance, and appraisal topics require reviewer fields before strong claims.","Guide owns informational intent; service directory owns provider intent; money page owns transaction intent.","Lead copy says consultation request, not binding advice.","build_ready_spec_not_implemented"
"PD-008","Foreign-buyer concierge module","international_investor","Foreign investors and remote buyers","Connect English readers to language-capable professionals and concierge intake.","language, country_context, buyer_stage, category, profile_languages, disclosure_status","language filter, remote-flow CTA, concierge form, verified status","Do not provide tax, legal, mortgage, or immigration advice as site content.","English pages own foreign-buyer education and concierge intent, not Israeli local service pages.","Lead routes to concierge first unless the user explicitly selects a profile.","build_ready_spec_not_implemented"
"PD-009","Contractor/provider intake","contractor_intake","Professionals, contractors, developers","Collect profile, license, service, language, media, disclosure, and package data before publication.","provider_type, legal_name, public_name, license_number_optional, documents, cities, languages, packages, disclosures","step form, upload fields, review status, owner approval gate","Nothing public until minimum verification and owner approval are complete.","Intake pages stay private or noindex unless deliberately exposed as a provider signup page.","Submissions create a review task, not a public listing.","build_ready_spec_not_implemented"
"PD-010","Admin registry","admin_war_room","Owner and operators","Operate profiles, verification, disclosures, routing, complaints, and stale reviews from one registry.","profile_id, status, source_url, reviewer, expiry_date, disclosure_state, lead_destination, last_contact_test","list view, filters, bulk status, evidence links, stale alert","Stale or disputed profiles are hidden or downgraded until reviewed.","Admin pages are private and never indexed.","Each profile has one approved lead destination and fallback destination.","build_ready_spec_not_implemented"
"PD-011","Review and complaint flow","professional_profile","Users and owner","Accept issue reports without publishing unverified negative or positive claims.","profile_id, report_type, reporter_contact_optional, evidence, moderation_status","report issue button, moderation queue, owner notes","Reviews and complaints are not public until policy, consent, and moderation are approved.","Review content does not create separate indexable pages by default.","Issue reports route to owner queue, not directly to the provider.","build_ready_spec_not_implemented"
"PD-012","Disclosure and ranking layer","all_professionals","All users","Separate relevance, verification, and commercial placement so trust is not sold invisibly.","rank_reason, verification_status, commercial_position_state, disclosure_text, sort_mode","sort selector, disclosure text, placement marker, explanation drawer","Paid placement may affect visibility only with clear disclosure and never replaces verification.","Pages may explain sorting, but do not target ranking-policy keywords as money pages.","Leads from paid placement preserve disclosure state for reporting.","build_ready_spec_not_implemented"
