"page_id","route_pattern","language","audience","primary_intent","canonical_keyword_or_cluster","page_role","parent_hub","required_modules","required_sources","legal_gate","asset_gate","indexation_rule","priority","notes"
"INTL-001","/en","en","foreign_buyer","orientation","real estate israel","English investor hub","home","country selector, buyer paths, project entry, city entry, tax path, mortgage path, professional path, concierge CTA","site editorial policy, page ownership registry","LEGAL_REVIEW","NEEDS_VERIFICATION","index after copy and hreflang review","P0","Do not auto-translate Hebrew home. Write for foreign buyer concerns."
"INTL-002","/en/buy-property-israel","en","foreign_buyer","process","buying property in israel","Buying guide","intl_hub","steps, timeline, professionals needed, source checklist, CTA","Israel Tax Authority, attorney review, verified process notes","LEGAL_REVIEW","NEEDS_VERIFICATION","index after legal review","P0","Core top-of-funnel guide."
"INTL-003","/en/buy/tel-aviv","en","foreign_buyer","city_purchase","tel aviv apartments for sale","City money page","intl_hub","project cards, listings, neighborhoods, price context, professionals, concierge CTA","real supply, source dates, city data","NEEDS_VERIFICATION","REQUIRES_REAL_SUPPLY","index only with real supply or honest empty state","P0","First international city page."
"INTL-004","/en/buy/jerusalem","en","foreign_buyer","city_purchase","jerusalem apartments for sale","City money page","intl_hub","project cards, listings, neighborhoods, professionals, concierge CTA","real supply, source dates, city data","NEEDS_VERIFICATION","REQUIRES_REAL_SUPPLY","index only with real supply or honest empty state","P1","Second city page."
"INTL-005","/en/buy/netanya","en","foreign_buyer","city_purchase","netanya apartments english speakers","City money page","intl_hub","project cards, listings, English-speaking services, concierge CTA","real supply, source dates, city data","NEEDS_VERIFICATION","REQUIRES_REAL_SUPPLY","index only with real supply or honest empty state","P1","Strong Anglo/French buyer fit."
"INTL-006","/en/buy/raanana","en","foreign_buyer","city_purchase","raanana real estate english","City money page","intl_hub","project cards, listings, family services, professional routing","real supply, source dates, city data","NEEDS_VERIFICATION","REQUIRES_REAL_SUPPLY","index only with real supply or honest empty state","P1","Family and Anglo buyer route."
"INTL-007","/en/projects/tel-aviv","en","foreign_buyer","new_projects","new construction tel aviv","Project city hub","intl_hub","new project cards, asset completeness, 3D availability, sales CTA","developer verified project data","LEGAL_REVIEW","REQUIRES_OFFICIAL_ASSET","index only with verified projects","P0","Contractor monetization page."
"INTL-008","/en/projects/{project_slug}","en","foreign_buyer","project_detail","sde dov tel aviv project","Project detail","projects_city_hub","project facts, 3D showroom entry, unit interest, source notes, concierge CTA","developer source, asset rights, project status","LEGAL_REVIEW","REQUIRES_OFFICIAL_ASSET","index only after source and asset gate","P0","Foreign-buyer proof page for premium projects."
"INTL-009","/en/projects/{project_slug}/showroom","en","foreign_buyer","showroom","3d apartment tour israel","Showroom","project_detail","unit selector, view, surroundings, floor plan, interior tour, consultation CTA","official assets, unit data, map sources","LEGAL_REVIEW","REQUIRES_OFFICIAL_ASSET","index only if public content exists without fake assets","P0","Must show asset truth."
"INTL-010","/en/tax/foreign-buyer-purchase-tax","en","foreign_buyer","tax","foreign buyer purchase tax israel","Tax guide","intl_hub","tax overview, official calculator link, lawyer CTA, update date","Israel Tax Authority, attorney or CPA review","LEGAL_REVIEW","OFFICIAL_SOURCE_REQUIRED","index after source review","P0","No tax brackets without date and source."
"INTL-011","/en/tools/purchase-tax-calculator","en","foreign_buyer","tool","purchase tax calculator israel","Tool page","intl_tax_guide","calculator shell, assumptions, official calculator link, lead CTA","Israel Tax Authority simulator and legal review","LEGAL_REVIEW","OFFICIAL_SOURCE_REQUIRED","index after formula review","P0","Use official source gate before public calculations."
"INTL-012","/en/mortgage/foreign-buyers","en","foreign_buyer","finance","mortgage in israel for foreigners","Mortgage guide","intl_hub","eligibility questions, bank/advisor routing, caveats, CTA","Bank of Israel, licensed advisor review","LEGAL_REVIEW","OFFICIAL_SOURCE_REQUIRED","index after finance review","P0","Do not promise approval or rates."
"INTL-013","/en/tools/mortgage-calculator","en","foreign_buyer","tool","israeli mortgage calculator english","Tool page","intl_mortgage_guide","calculator shell, assumptions, currency context, advisor CTA","Bank of Israel, advisor review","LEGAL_REVIEW","OFFICIAL_SOURCE_REQUIRED","index after assumptions review","P1","Use bands and disclaimers."
"INTL-014","/en/professionals/lawyers","en","foreign_buyer","professional","israeli real estate lawyer english","Professional category","intl_hub","verified lawyers, language, license method, inquiry CTA","license/registry verification, disclosure policy","LEGAL_REVIEW","REQUIRES_VERIFICATION","index after professional verification policy","P1","No fake verification."
"INTL-015","/en/professionals/mortgage-advisors","en","foreign_buyer","professional","mortgage advisor israel english","Professional category","intl_hub","verified advisors, language, regions, inquiry CTA","license/credential review, disclosure policy","LEGAL_REVIEW","REQUIRES_VERIFICATION","index after verification policy","P1","Connect to mortgage guide."
"INTL-016","/en/buy/from-usa","en","foreign_buyer","country_process","how to buy property in israel from usa","Country buyer guide","intl_buy_guide","remote process, tax questions, transfer checklist, professionals, CTA","attorney/CPA review, country notes","LEGAL_REVIEW","NEEDS_VERIFICATION","index after review","P1","Country route, not a generic translation."
"INTL-017","/en/buy/from-uk","en","foreign_buyer","country_process","how to buy property in israel from uk","Country buyer guide","intl_buy_guide","remote process, tax questions, transfer checklist, professionals, CTA","attorney/CPA review, country notes","LEGAL_REVIEW","NEEDS_VERIFICATION","index after review","P2","Do not overclaim cross-border tax."
"INTL-018","/en/buy/from-france","en","foreign_buyer","country_process","how to buy property in israel from france","Country buyer guide","intl_buy_guide","remote process, tax questions, transfer checklist, professionals, CTA","attorney/CPA review, country notes","LEGAL_REVIEW","NEEDS_VERIFICATION","index after review","P2","Future FR route may need native French copy."
"INTL-019","/en/guides/safety-buying-israel","en","foreign_buyer","trust","is it safe to buy property in israel","Trust guide","trust_center","due diligence checklist, fake listing warning, source review, lawyer CTA","attorney review, public source notes","LEGAL_REVIEW","NEEDS_VERIFICATION","index after review","P1","Trust route for cold international traffic."
"INTL-020","/en/invest/tel-aviv","en","foreign_buyer","investment","investing in tel aviv real estate","Investment guide","intl_hub","market context, yield caveats, project routes, tax links, CTA","official market data, finance/tax review","LEGAL_REVIEW","OFFICIAL_SOURCE_REQUIRED","index after data source review","P1","No ROI promises."
"ABROAD-001","/abroad/cyprus","he","israeli_investor_abroad","country_landing","השקעה בקפריסין נדלן","Country landing","abroad_hub","country overview, project cards, tax/legal caveats, source dates, inquiry CTA","Cyprus official property/legal/tax sources, local counsel review","LEGAL_REVIEW","REQUIRES_OFFICIAL_ASSET","noindex until country source pack exists","P2","Keep Israel site center of gravity. Israeli investor angle only."
