claim_id,claim,claim_type,primary_source_ids,source_date,country,israel_applicability,limitation,planned_location,status
C001,A flagship guide should not compete with the commercial projects archive.,Architecture and editorial,SITE-01; SITE-02,2026-08-10,Israel,Directly applicable,"The site already separates projects, guides, tools and professionals.",Section 0 and internal link map,Verified publicly
C002,Two Tel Aviv naming variants may indicate a taxonomy or canonical issue.,Technical site audit,SITE-01,2026-08-09,Israel,Directly applicable,"Only a public symptom was observed; cause is unknown without WordPress, crawl and Search Console.",QA blockers,Unresolved
C003,"Israeli building regulation distinguishes goals, functional requirements and prescriptive rules.",Regulation,IL-01,2020-03,Israel,Directly applicable,Latest binding text must be checked on publication date.,Flagship chapter 1,Needs final legal refresh
C004,A project permit and public planning records must be checked for site-specific rights and constraints.,Regulation and due diligence,IL-02; IL-03; IL-07,2026-08-10,Israel,Directly applicable,Public systems do not replace professional review of the project file.,Flagship chapter 2,Verified at process level
C005,Commissioning verifies a building and its systems against Owner Project Requirements from early design through warranty.,Professional process,CX-01,2026-08-10,USA,International benchmark,Not a statutory Israeli requirement unless incorporated into project documents.,Flagship chapters 1 and 15,Verified
C006,Building enclosure commissioning should begin early and include field observation and verification testing.,Professional process,CX-02,2012,USA,International benchmark,Guideline is older and must be adapted to project context.,Flagship chapters 7 and 14,Verified
C007,"Facility management should be planned as a strategic, tactical and operational management system.",International standard,FM-01,"2018-04, amendment 2024",International,Benchmark,ISO 41001 is under revision in 2026.,Flagship chapter 15,Time-sensitive status
C008,"Maintenance engineering should influence design decisions, access and replacement planning.",Professional practice,FM-02,2023-09,UK,Benchmark,Not Israeli law.,"Flagship chapters 1, 9 and 15",Verified
C009,"Lift design includes traffic performance, human factors, operation, maintenance and modernization, not only rated speed.",Professional practice,LIFT-01,2025-09,UK,Benchmark,Project design must comply with current Israeli requirements.,Flagship chapter 8,Verified
C010,Indoor pool air handling must bring fresh air across the water surface and exhaust chloramine-polluted air.,Health and operations,POOL-01,2025-06-23,USA,Principle applicable,Exact design values and Israeli health requirements need local verification.,Flagship chapter 12 and pool article,Verified as CDC guidance
C011,A dehumidification system alone does not necessarily supply enough fresh air or remove chloramine-polluted air.,Health and operations,POOL-01,2025-06-23,USA,Principle applicable,Do not convert into an Israeli prescriptive value without local sources.,Pool and spa article,Verified
C012,BACnet product certification can reduce integration risk but does not replace full system design and commissioning.,Technology,BMS-01; BMS-02,2026-08-10,International,Applicable as procurement principle,Industry association source.,Smart home 2035 article,Verified with qualification
C013,Natural stone selection requires tests matched to the use and exposure rather than a prestigious quarry name alone.,Materials,STONE-01,2026-08-10,International,Applicable as specification principle,"Local labs, standards and installation systems require separate verification.",Materials article,Verified at principle level
C014,A slender tower may require a tuned mass or liquid damper for occupant comfort.,Project-specific engineering,CASE-01; CASE-02,2026-08-10,USA,"Illustrative, not universal",Need wind engineer and project-specific criteria.,Flagship chapter 5,Verified for cited projects
C015,"Mixed hotel-residential towers require deliberate separation or allocation of systems, controls and operating costs.",Project-specific engineering and operations,CASE-03,2026-08-10,USA,Illustrative,"Design source, no independent operational audit.",Flagship chapters 8 and 9,Verified for project
C016,Plumbing layout and acoustic treatment can prevent water-flow noise from disturbing residences below.,Project-specific engineering,CASE-04,2026-08-10,Poland,Illustrative,Do not claim a universal performance value.,Flagship chapter 10,Verified for project
C017,Waste heat from cooling equipment can be reused for pool heating when system conditions support it.,Engineering option,CASE-04,2026-08-10,Poland,Potentially applicable,Project-specific feasibility and economics required.,Flagship chapter 12,Verified as case
C018,Vegetation on a residential façade can require centralized specialist maintenance and remote irrigation.,Operations model,CASE-05,2026-08-10,Italy,Illustrative,Costs and local climate adaptation require project-specific study.,Flagship chapter 15,Verified for project
C019,Separate service cores can protect privacy and make staff and deliveries less visible.,Architectural planning,CASE-06,2026-08-10,UK,Illustrative,Not the only valid planning solution.,Flagship chapter 8,Verified for project
C020,"A luxury amenities list is incomplete without capacity, staffing, access, plant space, cleaning and renewal planning.",Editorial analysis,FM-01; FM-02; POOL-01; LIFT-01,2026-08-10,International,Direct editorial conclusion,"Analytical synthesis, not a statutory rule.",Flagship chapter 12,Supported inference
C021,"A material passport should record product identity, source, finish, batch, installation, cleaning, warranty and spare stock.",Editorial and procurement framework,STONE-01; FM-02,2026-08-10,International,Proposed ultra-prime practice,Not a universal legal requirement.,Flagship chapter 11,Editorial recommendation
C022,Large equipment should have a replacement path that does not require destroying finished spaces.,Maintenance design,FM-02; CX-01,2026-08-10,International,Applicable principle,Specific access depends on design and equipment.,"Flagship chapters 9, 12 and 15",Supported professional principle
C023,A buyer cannot validate building performance from a sales brochure alone.,Consumer analysis,SITE-03; SITE-04; CX-01; CX-02,2026-08-10,Israel,Directly applicable,Requires project documents and qualified review for a specific purchase.,Throughout guide,Supported inference
C024,The project’s first-year service budget should be tested against the promised staffing and amenities.,Operations and finance,FM-01; FM-02,2026-08-10,International,Applicable principle,Exact budget values are project-specific and time-sensitive.,Flagship chapter 15,Editorial recommendation
C025,"All current Israeli legal, standard and safety statements must be rechecked on the day of final editing.",Quality control,IL-01; IL-02; IL-04,2026-08-10,Israel,Directly applicable,Mandatory editorial gate.,QA report,Open until publication
