slug,title,omission_or_limit
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,"לא נכללו קבצי תכנית, חתכים הנדסיים, הדמיות העירייה או לוח ביצוע, משום שלא נמצא לוח כולל מחייב לכל שלושת המקטעים."
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,"לא נכללו תשריטי תא/4444, נספחי תנועה, טבלאות הקצאה, פרטי מכרזים או הדמיות יזמים. אלה משתנים בין מתחמים ומגרשים."
sde-dov-participation,שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון,"לא שוכפלו טפסי הרשמה, פרטי משתתפים, קבצי מצגות, הקלטות או דוחות חיצוניים שמאוחסנים בשירותי צד שלישי."
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,"לא נכללו כל פרוטוקולי ההתנגדויות, טבלאות האיחוד והחלוקה, נספחי הסביבה או שרטוטי חמש התכניות המפורטות."
kikar-atarim,"עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון","לא נכללו החלופות הגרפיות, הדמיות, סקרי רוח וצל, מסמכי בעלות או פרוטוקולים מלאים. יש להורידם מן המקור ולבדוק את הגרסה האחרונה."
kfir-renewal,התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת,"לא נכללו חלוקת המתחמים, זכויות מוצעות, תסקיר חברתי, מצגות מפגש או מסמכי תמורה. יש לבדוק אותם בגרסה העדכנית של התכנית."
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,"לא נכללו נסחים, טבלאות הקצאה ואיזון, מפות מדידה או מידע אישי על בעלי זכויות. הנתונים בחבילה אינם בדיקת זכויות."
southeast-renewal,"ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים","לא נכללה מפת הסיווג המפורטת לכל מבנה, תסקירים, חלופות או נתוני כדאיות. המסלול לכל בניין מחייב בדיקה פרטנית."
levana-renewal,שכונת לבנה: התחדשות בקצה פארק בגין,"לא נכללו מסמכי המפגשים, מפת מתחמי ההתחדשות, תסקיר חברתי או תכניות מפורטות מקומיות."
ramat-hatayasim,רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול,"לא נכללו מפת הקווים הכחולים המעודכנת, תסקיר חברתי, מצב כל בניין או לוח הקו הסגול."
florentin,"פלורנטין מתחדשת: רחובות, שימור, הליכה ומגורים בצפיפות גבוהה","לא נכללו תשריטי תנועה, רשימות שימור, לוחות עבודות רחוב, הסדרי חניה זמניים או כל מסמך תכנון של ששת האזורים."
neot-afeka-b,"נאות אפקה ב׳: התחדשות בין שיכונים, מרכז מסחרי ומגדלי גבעת הפרחים","לא נכללו שאלוני התושבים, תסקיר חברתי, גבולות קבוצות הבניינים, חלופות בינוי או החלטת ועדה עדכנית."
neve-avivim,נווה אביבים: התחדשות מדודה לשכונה ירוקה ומבוססת,"לא הועתקה מפת תחום המדיניות, לא הוטמעו פרטי קשר אישיים ולא שוכפלו רכיבי ההיוועצות או קבצים דינמיים. נכון ליום הבדיקה טרם הוצג בחבילה מסמך מדיניות מאושר, משום שהדף העירוני מתאר תהליך הכנה."
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,העמוד הישיר של יד אליהו לא היה נגיש והחזיר 401. החבילה אינה משכפלת את הטבלה העירונית האפשרית ואינה מתיימרת למנות את כל התכניות וההיתרים בשכונה. התוכן נבנה ממקורות עירוניים חלופיים ומסומן בהתאם.
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,"לא שוכפלו גלריות, טפסי רישוי, מסמכי הנחיות לדוכן, פרטי קשר משתנים או רשימת המבזקים הדינמית. לא נבנתה מפת חסימות. לוחות זמנים נקודתיים חייבים להיבדק במבזק האחרון."
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע","לא שוכפלו טבלאות דינמיות, גלריה, מצגות או מסמכי שיתוף ציבור שאינם גלויים בטקסט הסטטי. החבילה אינה כוללת תכנית לפינוי האוטובוסים, מיפוי בעלויות, בדיקה הנדסית של המבנה או חלופה אדריכלית מדויקת."
