"source_id","source_type","competitor_or_source","url","observed_surface","observed_strength","visible_gap_or_limit","nadlan_response","evidence_date"
"CS-001","marketplace","Yad2","https://www.yad2.co.il/","National classifieds portal with sale, rent, commercial, new projects, map search, valuation, broker offices, and professional categories.","Broad supply, strong user habit, broad category coverage, and linked service surfaces.","General marketplace breadth makes trust and project depth uneven; not every project gets a decision-grade experience.","Do not fight with a thin copy of classifieds. Build verified project pages, trust gates, clean category hubs, and lead routing around real supply.","2026-06-23"
"CS-002","new_projects","Yad1 by Yad2","https://www.yad2.co.il/yad1","New-project marketplace with builder lists, regional project categories, and large developer coverage.","Strong contractor-facing inventory and project discovery surface.","The surface is strong, so NadLan cannot compete with a simple project card. It needs deeper unit decision tools, asset truth, foreign-buyer flow, and measurable lead value.","Make projects the primary monetization beachhead: 3D journey, unit comparison, verified assets, financing path, and contractor dashboard.","2026-06-23"
"CS-003","new_projects","Yad1 regional project page","https://www.yad2.co.il/yad1/newprojects/coastal-north","Regional new-project page describing virtual tour, real window view, data tools, project comparison, and apartment matching.","Confirms the competitive bar for project pages includes immersive and data-led features, not just text.","This raises the minimum standard for NadLan showroom and comparison work.","NadLan project pages must include real asset state, unit views, comparison, source gates, and screenshot proof before contractor sales use.","2026-06-23"
"CS-004","marketplace","Madlan for sale Israel","https://www.madlan.co.il/for-sale/%D7%99%D7%A9%D7%A8%D7%90%D7%9C","National for-sale index with tens of thousands of listings, prices, city links, private/agent/project mixing, and pagination.","Strong inventory density and local page coverage.","Inventory scale is a moat. NadLan should not index city pages without supply or a strong honest empty state.","Use supply gates for buy/rent pages. Build city pages only where there is inventory, data, or a unique project/trust layer.","2026-06-23"
"CS-005","new_projects","Madlan projects Israel","https://www.madlan.co.il/projects-for-sale/%D7%99%D7%A9%D7%A8%D7%90%D7%9C","New projects and apartment projects index with national and city project counts and filters.","Strong project index and city project pages.","Competes directly for new-project discovery. Plain project pages will not be enough.","Position NadLan around decision confidence: verified project data, view/floor/interior path, financing, professionals, and foreign investor concierge.","2026-06-23"
"CS-006","map_marketplace","OnMap","https://www.onmap.co.il/","Map-led real-estate search with drawing on map, saved lists, notes, filters, and mortgage calculation around listings.","Clear map-first product angle and practical search workflow.","Search result pages can be thin or empty when supply is missing; map utility alone does not create full trust.","Use map interaction where it helps, but connect it to unit truth, surroundings, transit, project lead capture, and content ownership.","2026-06-23"
"CS-007","map_marketplace","OnMap buy page","https://www.onmap.co.il/search/homes/buy","Buy search page with advanced filters, image-only filter, virtual-tour filter, and draw-on-map interaction.","Good filter vocabulary for buyer UX and map interactions.","Observed page can show zero results for generic route, so indexation must be supply-gated.","Use filter taxonomy as UX input, but noindex thin filter states and build approved canonical city/category pages only.","2026-06-23"
"CS-008","project_portal","Nadlan.com project page","https://www.nadlan.com/project/%D7%91%D7%A6%D7%9C%D7%90%D7%9C","Project pages describe renders, apartment plans, tours, video, interactive map layers, points of interest, transactions, air quality, socio-economic and crime data.","This is the closest product benchmark for project depth and surrounding-area data.","It proves that surrounding intelligence and media depth are expected in the project category.","NadLan showroom cannot be a visual shell. It needs project facts, media, map layers, nearby services, risks, source dates, and lead flow in one path.","2026-06-23"
"CS-009","content_news","Nadlan Center urban renewal guide","https://www.nadlancenter.co.il/article/3498","Large urban-renewal guide covering process, cities, permits, and project types.","Strong guide/content footprint for informational real-estate intent.","Guide pages alone do not create project lead ownership unless tied to city/project pages and professionals.","Use guides as support pages with canonical internal links into city renewal hubs, project pages, and verified professionals.","2026-06-23"
"CS-010","calculator","Mizrahi Tefahot mortgage calculator","https://www.mizrahi-tefahot.co.il/mortgages/calculator/","Mortgage calculator with buyer purpose, property price, equity, loan period, and repayment simulation.","Banks set a high trust bar for calculators and disclosures.","NadLan calculators must avoid pretending to provide binding financial advice.","Build calculators as decision support with assumptions, disclaimers, source dates, lead routing, and professional follow-up.","2026-06-23"
"CS-011","foreign_buyer","Nefesh B'Nefesh buying guide","https://www.nbn.org.il/life-in-israel/community-and-housing/buying-and-renting/a-10-step-guide-to-purchasing-an-apartment-in-israel/","English buying guide for apartment purchase process and professional consultation caution.","Strong English educational surface for aliyah and foreign buyers.","It is not a project marketplace or unit-level conversion tool.","NadLan English pages should combine education, project discovery, concierge intake, tax/legal disclaimers, and verified follow-up.","2026-06-23"
"CS-012","foreign_marketplace","Realtor.com international Israel apartments","https://www.realtor.com/international/il/israel/apartment/","International Israel apartment search with filters, map, local currency, USD conversion, and many results.","Shows foreign-buyer expectation for map, currency, filters, and global marketplace familiarity.","Generic international marketplace lacks local Hebrew project intelligence and contractor intake.","Build EN pages with currency context, remote-buyer flow, project assets, local professional network, and source-gated claims.","2026-06-23"
"CS-013","professional_directory","LawReviews real-estate lawyers Tel Aviv","https://www.lawreviews.co.il/search/real-estate/center/tel-aviv","Professional directory for real-estate lawyers with reviews, filtering, language/service options, WhatsApp and phone contact paths.","Strong professional trust and conversion mechanics.","Directory logic is strong but not tied to property/project context.","NadLan professionals should be tied to transaction stage, city, project, language, and verified status, not just a generic directory.","2026-06-23"
"CS-014","professional_directory","Pro.co.il real-estate appraisers Tel Aviv","https://www.pro.co.il/real-estate-appraisers/tel-aviv","Appraiser directory with ratings, review counts, last-check status, phone contact, and locality.","Strong proof mechanics for trust and supplier selection.","Category directory is not integrated into property decisions.","NadLan should route appraisal, legal, mortgage, inspection, and design professionals from listing/project/tool contexts.","2026-06-23"
