slug,title_tag,meta_description,h1,semantic_tags,canonical_placeholder
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר | תל אביב מתכננת,"מדריך עצמאי לקירוי איילון: מה אושר בתכנית האב, שלושת המקטעים, היתרונות העירוניים, הקשיים ההנדסיים ומה עדיין אינו פרויקט לביצוע.",קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,קירוי איילון | פארק גג | חיבור מזרח ומערב | תחנת השלום | הליכתיות | שבילי אופניים | מרחב ציבורי,https://example.org/tel-aviv-projects/projects/ayalon-roof.html
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון | תל אביב מתכננת,"מדריך מקיף לרובע שדה דב: 16 אלף דירות, תכניות מרכז וצפון, פארק חופי, תשתיות, תחבורה ומה לבדוק לפני רכישה ברובע חדש.",רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,רובע שדה דב | תא 4444 | אשכול | מרכז שדה דב | צפון שדה דב | פארק חופי | דיור בהישג יד | קו ירוק,https://example.org/tel-aviv-projects/projects/sde-dov.html
sde-dov-participation,שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון | תל אביב מתכננת,"מדריך לשיתוף הציבור בשדה דב: חמשת המפגשים, ארבעת נושאי התכנון המפורט, ההבדל בין שיתוף להתנגדות וכיצד לבדוק הטמעת הערות.",שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון,שיתוף ציבור | שדה דב | התנגדויות | תכנון מפורט | תנועה | דיור | פרוגרמה | עדכון תושבים,https://example.org/tel-aviv-projects/projects/sde-dov-participation.html
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני | תל אביב מתכננת,"מדריך לתכנית צפון מערב 3700 בתל אביב: חמישה מתחמים, פארק חוף, שימור המצוק, עירוב שימושים, אנרגיה ותשתיות ומה לבדוק במקור.",צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,תא 3700 | צפון מערב תל אביב | פארק חוף | מצוק הכורכר | עירוב שימושים | תשתיות | אנרגיה שכונתית,https://example.org/tel-aviv-projects/projects/northwest-3700.html
kikar-atarim,"עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון | תל אביב מתכננת","מדריך לעיר כיכר ים וכיכר אתרים: מסמך המדיניות, המרינה, בריכת גורדון, חזית הים, שיתוף הציבור ומה לבדוק בתכניות הבינוי והמרחב הציבורי.","עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון",כיכר אתרים | עיר כיכר ים | מרינה תל אביב | בריכת גורדון | חזית הים | מלונאות | מרחב ציבורי,https://example.org/tel-aviv-projects/projects/kikar-atarim.html
kfir-renewal,התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת | תל אביב מתכננת,"מדריך להתחדשות שכונת כפיר: 130 דונם, 600 דירות קיימות, מסמך המדיניות, תכנית תא/מק/5081, החצר המרכזית, שלביות ומה לבדוק כדייר.",התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת,שכונת כפיר | תא מק 5081 | תא מק 9100 | כפר שלם | פינוי בינוי | מרחב ציבורי | שלביות,https://example.org/tel-aviv-projects/projects/kfir-renewal.html
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה | תל אביב מתכננת,"מדריך לרה־פרצלציה בשכונת התקווה: מהו מושע, איך פועלת תכנית איחוד וחלוקה, 50 מיליון ש״ח, חלקה 1 ומה בעל נכס צריך לבדוק.",איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,שכונת התקווה | רה פרצלציה | איחוד וחלוקה | מושע | טבלת הקצאה ואיזון | רישום מקרקעין | תא מק 4691,https://example.org/tel-aviv-projects/projects/hatikva-reparcelation.html
southeast-renewal,"ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים | תל אביב מתכננת","מדריך להתחדשות ניר אביב, נווה חן ונווה אליעזר: מדיניות 2020, שיקום מול פינוי־בינוי, צפיפות, תשתיות ומה לבדוק בכל בניין.","ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים",ניר אביב | נווה חן | נווה אליעזר | כפר שלם | שיקום מבנים | עיבוי | פינוי בינוי | מדיניות 2020,https://example.org/tel-aviv-projects/projects/southeast-renewal.html
levana-renewal,שכונת לבנה: התחדשות בקצה פארק בגין | תל אביב מתכננת,"מדריך להתחדשות שכונת לבנה בתל אביב: 5,133 תושבים, פארק בגין, מסמך מדיניות, קהילה ותיקה, תשתיות ומה דיירים צריכים לבדוק.",שכונת לבנה: התחדשות בקצה פארק בגין,שכונת לבנה | פארק בגין | התחדשות עירונית | מזרח תל אביב | קהילה ותיקה | מסמך מדיניות | תחזוקת בניין,https://example.org/tel-aviv-projects/projects/levana-renewal.html
ramat-hatayasim,רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול | תל אביב מתכננת,"מדריך להתחדשות רמת הטייסים: מדיניות 2021, עדכון קווים כחולים ב־2024, בנייני השיכון, הקו הסגול ומה דיירים צריכים לבדוק.",רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול,רמת הטייסים | קו סגול | דרך השלום | פארק וולפסון | מסמך מדיניות 2021 | קווים כחולים | שיכונים,https://example.org/tel-aviv-projects/projects/ramat-hatayasim.html
