source_id,authority,source_kind,title,url,accessed_at,target_evidence,model_use,does_not_prove,distribution
IVS001,Hagag Group,official live project page,Einstein Tower,https://www.hagag-group.co.il/projects/ResidentProjects/einstein_tower,2026-08-14,"28-floor tower; two 13-floor boutique buildings over commerce; Einstein-Levi Eshkol corner; Moshe Tzur","identity; current composition; official gallery parent","survey; exact footprints; unit/facility schedule; as-built status",URL and assertions only
IVS002,Hagag Group,official developer render,Gallery 01 close tower,https://www.hagag-group.co.il/Uploads/2023/01/ZNww5uByuTRPva.jpg,2026-08-14,"punched light facade; broad glazed/terrace stack; asymmetric stepped crown; staged residential interiors","tower facade family; crown silhouette; representative interior anchor zone","cardinal orientation; module dimensions; unit plan; contractor interior; view promise",URL/hash/assertions only; no bytes
IVS003,Hagag Group,official developer render,Gallery 02 night aerial,https://www.hagag-group.co.il/Uploads/2023/01/8mc53qNqkkbGe2.jpg,2026-08-14,"one tower plus two lower blocks; continuous podium; two broad street edges; landscape","building count; relative height; topology; podium continuity","legal boundary; exact scale/transform; final streets",URL/hash/assertions only; no bytes
IVS004,Hagag Group,official developer render,Gallery 03 day aerial,https://www.hagag-group.co.il/Uploads/2023/01/0PkUJfNxeAhHnp.jpg,2026-08-14,"light facade family; balcony/glass stacks; roof setbacks; active commercial/public edge; transit illustration","facade asymmetry; roof/podium/public-edge visual language","binding transit layout; exact entrance; final material product",URL/hash/assertions only; no bytes
IVS005,Tel Aviv-Yafo Municipality,approved committee protocol,Architectural design plan 4695(1) protocol 20-0005,https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%2020-0005%20%D7%9E%D7%99%D7%95%D7%9D%201-4-20.pdf,2026-08-14,"planning area G; one tower plus two lower buildings over two commercial floors; entrance/circulation rules; facade/material/balcony rules; 1230 sqm public open spaces; active public commercial roof; 1300 sqm early-childhood public building","primary planning envelope; public realm; access; material family; balcony alignment; public/community layer","current permit facade; apartment layout; delivered private amenity; exact current building transform",URL and assertions only
IVS006,Planning Administration / Israel Land Authority,statutory plan provisions,Plan 507-0594929,https://apps.land.gov.il/IturTabotData/takanonim/telmer/5050295.pdf,2026-08-14,"45.748-dunam plan context; parcel/allocation and mixed-use planning framework","statutory context and parcel separation","current final facade; current permit geometry; facilities",URL and assertions only
IVS007,Tel Aviv-Yafo Municipality,municipal parcel GIS,Block 6885 parcel 32 polygon,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/524/query?f=json&where=ms_gush%3D6885%20AND%20ms_chelka%3D32&outFields=*&returnGeometry=true&outSR=4326,2026-08-14,"registered/graphic area about 5099 sqm; irregular elongated polygon; about 108.9 m east-west by 62.2 m north-south bounding box","true parcel envelope and target/neighbor separation","building footprints; entrances; contract boundary; signed survey",URL/query and assertions only
IVS008,Tel Aviv-Yafo Municipality,municipal permit GIS,Main project permit record oid 9945,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/772/query?f=json&where=oid_permit%3D9945&outFields=*&returnGeometry=true&outSR=4326,2026-08-14,"permit 20241734 dated 2026-07-09; 215 units; 28-floor tower plus two 13-floor blocks; 47+47+121; four parking floors; Einstein 14; reused 664.7 sqm west-locus polygon","current permit composition/status; parking count; potential west building/application locus","surveyed footprint of all three buildings; exact tower dimensions; occupancy",URL/query and assertions only
IVS009,Tel Aviv-Yafo Municipality,municipal permit GIS,Excavation and shoring record oid 6443,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/772/query?f=json&where=oid_permit%3D6443&outFields=*&returnGeometry=true&outSR=4326,2026-08-14,"permit 20240229 dated 2024-03-25 for shoring excavation foundations and first slab at Einstein 14","dated enabling-work status and exact target identity","current construction completion; final architecture",URL/query and assertions only
IVS010,Tel Aviv-Yafo Municipality,municipal permit application GIS,Private roof-pool request oid 4644,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/772/query?f=json&where=oid_permit%3D4644&outFields=*&returnGeometry=true&outSR=4326,2026-08-14,"request 20251646 opened 2025-11-12; private pools only on residential roof terraces; no added floor; permission_num 0","application-state marker; optional future roof-pool layer only if labeled application","approved/built pool; shared pool; resident facility schedule",URL/query and assertions only
