geometry_decision,status,model_application,supporting_reference_ids,conflict_or_limit,release_rule
three_building_composition,supported,"one tower and two boutique volumes",MR002;MR003;MR004;MR005;MR006,"Combined-project sources must not add neighboring buildings","Keep exact target identity parcel 6885/32"
white_mineral_material_family,supported_visual_cue,"white mineral tower/boutique base material",MR001;MR002;MR003;MR004,"Material specification and product are unknown","Illustration only; never label contractor finish"
tower_punched_window_side,supported_visual_cue,"narrow recessed opening grid on solid tower faces",MR001;MR002;MR003,"Exact module count/dimensions are not source-grade","Illustrative rhythm only"
tower_glass_terrace_strip,supported_visual_cue,"single vertical glass/terrace stack with projected balcony bands",MR001;MR002;MR003,"Exact facade orientation not municipally crosswalked","Do not attach compass/view claim"
tower_crown_setback,supported_visual_cue,"stepped top volume and recessed roof/crown",MR001;MR002;MR003,"Roof equipment and dimensions unknown","No amenity or penthouse claim"
boutique_pairing_roof_terraces,supported_visual_cue,"two separate close-set blocks with recessed roof terraces",MR002;MR003;MR004;MR013,"Current target page/filing say 13 residential floors; older official Hagag page says 12","Preserve explicit conflict; current target/date-bounded filing govern illustration; do not infer selectable floors"
boutique_balcony_stacks,supported_visual_cue,"glass balcony bands on one facade and vertical slots on solid faces",MR002;MR003;MR004,"Exact count/orientation unknown","Illustrative rhythm only"
continuous_commercial_podium,supported,"double-level light podium with articulated street shopfront cues",MR002;MR003;MR004;MR005;MR006,"Retail tenants/doors/levels within perspective are not supplied","No tenant/facility promise"
street_corner_context,partially_supported,"abstract public-realm edge only; no road mesh/cardinal label",MR002;MR003;MR004;MR005;MR008;MR009;MR012,"Official visuals, dated site photography and GIS show two frontages/corner; exact building transform against municipal geometry remains unsigned","Keep placement_calibration_state=not_municipally_crosswalked"
north_placement_of_buildings,withheld,"no model-to-street bearing or facade cardinal claim",MR009,"Address/parcel geometry alone does not calibrate the developer render or building footprint","Do not average/render-infer cardinal placement; require signed survey/GIS crosswalk"
current_construction_visual,withheld,"no construction mesh or photo-derived cue",MR010;MR011;MR012;MR016;MR017;MR020;MR021,"Dated Project TLV photos support fenced earthworks/site context and public sources support excavation/shoring; no construction photo is admitted as architectural geometry evidence","Status belongs in dated content; never alter proposed massing from a work-site assumption"
hoarding_public_realm_details,withheld,"no cycle-path plaza tenant door or finished-grade claim",MR019,"A photographed hoarding visualization is not evidence that the depicted public realm is approved or built","Keep only abstract landscape/public-edge massing; request signed landscape/civil package before mapping details"
north_reference,calibration_only,"North=0/+Z metadata and reference object",,"Not evidence of building-to-street orientation","Never use for view/facade claim until signed GIS/survey crosswalk"
representative_interior,owner_approved_illustrative_mapping,"approximate clickable model anchor plus two local representative-interior assets declared in experience/manifest.json",,"Owner permits illustrative mapping; no contractor plan/interior evidence and no unit identity","mapping_state=owner_approved_illustrative_mapping; source_cited=false; decision_grade=false; never attach to an official floor/unit/view; source_cited_mapping remains separate"
facilities_gallery,owner_approved_illustrative_mapping,"two approximate clickable model anchors each bound to one of two local selectable shared-space concept assets declared in experience/manifest.json",,"Owner permits illustrative mapping; no verified facility schedule or official spatial location","mapping_state=owner_approved_illustrative_mapping; source_cited=false; never claim official existence/location/commitment; source_cited_mapping remains separate"
residential_arrival_level_category,partially_supported,"facility-arrival-concept anchor at authored tower/podium residential-level seam",MR008;MR002;MR003;MR019,"MR008 PDF p57 lines 1564-1567 separates residential/public entrance level from Einstein commerce; exact door and anchor are owner interpolation","owner_approved_illustrative_mapping; source_cited=false; never call official lobby entrance floor frontage or accessible route"
active_roof_open_space_category,partially_supported,"facility-landscaped-open-space-concept anchor on authored Landscape_Terraces low-roof zone",MR003;MR008;MR019,"MR008 p55 lines 1495-1499 and p51 lines 1396-1404 require active accessible commercial roof/grade transition; pp62-63 lines 1653-1657 describe planted/seated lot-33 open space; exact authored anchor and scene are owner interpolation","owner_approved_illustrative_mapping; source_cited=false; never call named/private amenity official roof location view or delivered landscape"
