"evidence_id","type","path","proves","scope","status","limitations","next_verification"
"EV-001","audit","strategy/01-current-site-audit.md","Current public trust and technical issues known before final UPress pull","current_site","partial_current","Final live verification still pending after UPress theme pull and cache clear","Run final Stage 1 public screenshots after cache clear"
"EV-002","qa_screenshots","docs/qa/screenshots/stage1-public-trust-after/","Stage 1 public trust screenshot run output when available","current_site","needs_live_recheck","Must not be treated as final if deployment/cache not current","Repeat desktop and mobile after UPress confirms latest main"
"EV-003","strategy","strategy/04-keyword-master-universe.csv","225 keyword universe rows from Report 2 clean workbook","seo","verified_repo_artifact","Needs GSC/Semrush live validation before revenue forecasts","Attach GSC/Semrush exports when available"
"EV-004","registry","strategy/war-room/keyword-to-page-owner.csv","Every keyword row has a canonical owner, readiness state, and internal-link rule","anti_cannibalization","verified_repo_artifact","Heuristic owner mapping still needs owner/business review before writers use it at scale","Owner review of priority clusters and GSC/Semrush validation"
"EV-005","architecture","strategy/war-room/page-architecture-map.csv","39 page template model for money pages, hubs, support pages, and tools","ia","verified_repo_artifact","Route availability is planned, not fully implemented","Tie each build PR to page_id"
"EV-006","ux","strategy/war-room/ux-build-spec.csv","Build surfaces and acceptance requirements for homepage, listings, projects, showroom, professionals, tools, international","product_ux","verified_repo_artifact","Visual design still requires implementation screenshots","Screenshot each built surface at mobile and desktop"
"EV-007","gap_map","strategy/war-room/full-war-room-gap-map.csv","Known complete, partial, and missing war-room components","governance","verified_repo_artifact","Needs update after each major build slice","Update after showroom/listings implementation"
"EV-008","owner_html","strategy/war-room/full-war-room-gap-map-rtl.html","Owner-readable full gap view with refreshed measurement status and mobile screenshot QA","owner_visibility","owner_readable","Static export; shows specification status, not live implementation proof","Update after each new major packet or runtime implementation slice"
"EV-009","prototype_visual_qa","handoff/codex/2026-06-23-public-language-cleanup/exports/public-language-cleanup-visual-qa.html","Prototype public language cleanup, banned-term scan, and overflow scan","prototype","prototype_evidence","Not production; generic project photos and missing real GLB remain","Replace placeholder assets with contractor-supplied assets and recapture"
"EV-010","lovable_handoff","handoff/lovable/2026-06-23-war-room-sync/source-manifest.md","Lovable source commit, import package, and read order","cross_agent_sync","verified_repo_artifact","Lovable is an accelerator, not the source of truth","Re-import only when new GitHub commit exists"
"EV-011","cannibalization_system","strategy/24-source-of-truth-cannibalization-system.md","Long-term registry and WordPress admin enforcement model","seo_governance","verified_repo_artifact","Admin UI not built yet","Build registry CPT/admin table after design confirmation"
"EV-012","owner_html","strategy/source-of-truth-cannibalization-system-rtl.html","Readable Hebrew anti-cannibalization system explanation","owner_visibility","owner_readable","Does not enforce workflow by itself","Connect to admin dashboard backlog"
"EV-013","workbook","strategy/lovable/nadlan-lovable-keyword-workbook.xlsx","Visible workbook format for keyword research","owner_visibility","verified_repo_artifact","Workbook mirrors current known research only","Add GSC/Semrush tabs when available"
"EV-014","visual_reference","strategy/lovable/preview-3d-map-showroom.png","Prior 3D/map/showroom design reference","visual_direction","prototype_evidence","Reference image, not build acceptance proof","Use as visual comparison when building WordPress showroom"
"EV-015","visual_qa","strategy/war-room/owner-output-index-visual-qa.md","Owner-readable war-room index was screenshot-tested on desktop and 390px mobile","owner_visibility","owner_readable","Visual QA covers the index page only, not the live public site","Recheck if owner index structure or screenshots change"
"EV-016","live_public_qa","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/report.json","Fresh public-site screenshot run across five surfaces and three viewports","current_site","partial_current","Run still reports 78 leak matches, 33 visible leak signals, and 3 console errors; not final clearance","Fix flagged issues and rerun after UPress/cache is confirmed current"
