"event_id","event_name","event_type","surface","trigger","required_parameters","optional_parameters","privacy_rule","owner_kpi","qa_evidence_required","status"
"AE-001","page_view","automatic","sitewide","GA4 page view on every public page","page_location,page_title,language,page_type","page_id,canonical_owner,project_id,city,content_group","Do not send user phone,email,name,free_text,or exact address.","Traffic by page group, language, and canonical owner","Realtime or DebugView screenshot plus page URL sample","ready_to_build"
"AE-002","search","recommended","sitewide_search","User submits site search","search_term,language,page_type","results_count,search_scope,city","Do not send full personal free-text if it contains contact details.","Demand by topic and missing inventory","Search result event screenshot and data layer payload","ready_to_build"
"AE-003","view_search_results","recommended","sitewide_search","Search results are displayed","search_term,language,results_count","search_scope,city,sort_order","Do not store private contact details from typed text.","Search quality and zero-result opportunities","Debug screenshot with search term and result count","ready_to_build"
"AE-004","view_item_list","recommended","property_results","Project or property result list renders","item_list_id,item_list_name,items,page_type,language","city,asset_status,sort_order,filter_state","Items must use internal ids, not seller personal data.","Result visibility and supply demand","List render screenshot plus event payload","ready_to_build"
"AE-005","select_item","recommended","property_results","User opens a project or property card","item_list_id,items,page_type,language","position,city,commercial_position_state","Do not expose internal paid ranking formula publicly.","Card engagement and route quality","Click screenshot plus DebugView event","ready_to_build"
"AE-006","view_item","recommended","project_or_property_detail","Project, property, or unit detail is viewed","items,page_type,language","project_id,unit_id,city,asset_status,price_band","Unit identifiers must be internal ids, not private owner details.","Detail-page engagement","Detail page screenshot and event payload","ready_to_build"
"AE-007","filter_apply","custom","property_results","User applies a filter","filter_name,filter_value,page_type,language","city,result_count,filter_group","Avoid sending exact free-text if it can identify a person.","Filter demand and inventory gaps","Filtered state screenshot plus data layer payload","ready_to_build"
"AE-008","filter_clear","custom","property_results","User clears filters","page_type,language","city,previous_filter_count","No personal data.","Search friction","Filter-clear screenshot and event payload","ready_to_build"
"AE-009","sort_change","custom","property_results","User changes sort order","sort_order,page_type,language","city,result_count","Do not send internal formula details.","Ranking preference","Sort screenshot and event payload","ready_to_build"
"AE-010","save_item","custom","property_results,detail","User saves a project, property, or professional","item_id,item_type,page_type,language","project_id,city,asset_status","Requires consent-aware storage if tied to a known user.","Buyer intent","Saved state screenshot plus event payload","ready_to_build"
"AE-011","compare_add","custom","property_results,detail","User adds item to compare","item_id,item_type,page_type,language","project_id,city,compare_count","Do not send private contact details.","Comparison intent","Compare state screenshot and event payload","ready_to_build"
"AE-012","map_open","custom","map_layer","User opens map or neighborhood layer","page_type,language,map_context","project_id,city,unit_id,zoom_level","Do not send precise user location unless explicit consent exists.","Map engagement","Map open screenshot and event payload","ready_to_build"
"AE-013","map_poi_select","custom","map_layer","User selects neighborhood point of interest","poi_category,page_type,language","project_id,city,distance_bucket","No exact user location or personal route data.","Neighborhood interest","POI screenshot and event payload","ready_to_build"
"AE-014","showroom_open","custom","showroom","User enters project showroom","project_id,asset_status,language","city,project_stage,source_page","Do not imply real 3D asset if asset_status says missing or illustrative.","Showroom entry","Showroom screenshot plus event payload","ready_to_build"
"AE-015","unit_select","custom","showroom","User selects floor or unit","project_id,unit_id,language","floor,unit_type,price_band,asset_status","Use internal unit ids and price bands where exact price is sensitive.","Unit interest","Unit state screenshot and event payload","ready_to_build"
