id,project,city,country,case_theme,documented_decision,best_fit,evidence_type,primary_source,url,limitation,editorial_use
1,111 West 57th Street,New York,USA,Wind comfort and structural restraint,Two full-height shear walls and a tuned mass damper allow a highly slender residential tower while keeping major views unobstructed.,"Structure, wind, buyer comfort",Engineering,WSP project page,https://www.wsp.com/en-nz/projects/111-west-57th-street-new-york,Project engineer source; does not independently prove long-term occupant satisfaction or maintenance cost.,Flagship chapters 5 and 15; standalone case profile justified.
2,56 Leonard Street,New York,USA,Wind damping and cantilevered homes,Outriggers connect the core to perimeter columns; a roof-level water slosh damper moderates wind movement while varied cantilevers preserve apartment layouts.,"Structure, wind, floor plates",Engineering,WSP project page,https://www.wsp.com/en-gb/projects/56-leonard,Project engineer source; maintenance and inspection regime for the damper is not detailed.,Flagship chapter 5; deep dive on tower motion.
3,Four Seasons One Dalton,Boston,USA,Hotel and residences sharing one tower,"MEP, security, telecommunications, metering, commissioning and modular HVAC were coordinated for hotel, residences and retail with future maintenance and replacement in mind.","Hidden hotel, systems, commissioning",Engineering and operations design,WSP project page,https://www.wsp.com/en-kr/projects/one-dalton,"Design-team account, not an operational audit after occupancy.","Flagship chapters 1, 8, 9, 15; standalone case profile justified."
4,53W53,New York,USA,Concrete diagrid and full-scale constructability mock-up,"A structural concrete diagrid follows the architectural façade, while a rebar mock-up tested congested nodes before repeated construction.","Structure, mock-ups, quality control",Engineering,WSP project page,https://www.wsp.com/en-us/projects/53w53,Project page still describes construction status inconsistently; completion and current operational data require separate verification.,Flagship chapters 5 and 14; standalone case profile justified.
5,8 Spruce Street,New York,USA,Complex façade delivered through integrated modeling,No two slab edges are identical; walking columns and BIM coordination were used to support the rippled façade and rationalize installation.,"Structure, façade, digital coordination",Engineering,WSP project page,https://www.wsp.com/en-us/projects/8-spruce-street,Design-team account; does not quantify façade maintenance or replacement complexity.,"Flagship chapters 5, 7 and 14."
6,One57,New York,USA,"High-strength concrete, hotel pool and wind damping","High-performance concrete, a liquid damping system and structural accommodation of a triple-height hotel pool illustrate the cost of combining views, slenderness and hospitality.","Structure, pool, mixed use",Engineering,WSP project page,https://www.wsp.com/en-us/projects/one57,Project source; exact concrete and damping data should be quoted only with source attribution.,Flagship chapters 5 and 12.
7,One Madison Park,New York,USA,Roof-level tuned liquid damping,A tuned liquid damping system addresses lateral motion in a slender luxury residential tower.,Structure and wind comfort,Engineering,WSP project page,https://www.wsp.com/en-us/projects/one-madison-park,"Brief source, little public information on maintenance or actual measured performance.",Deep dive on tower motion.
8,One Thousand Museum,Miami,USA,"Exoskeleton as architecture, structure and construction method","The concrete exoskeleton combines support and lateral bracing, uses permanent GFRC formwork and leaves interior plates largely column-free.","Structure, façade, materials",Architectural and engineering description,Zaha Hadid Architects,https://www.zaha-hadid.com/2021/01/27/one-thousand-museum-nominated-for-archdaily-building-of-the-year-2021/,Architect source and award context; independent service-life evidence is limited.,"Flagship chapters 5, 6 and 7; case profile justified."
9,Złota 44,Warsaw,Poland,"Acoustic services, heat recovery to pool and integrated home controls","The tower avoids a dedicated technical floor, treats plumbing acoustics, recovers chiller heat for the pool and integrates early home management systems.","Systems, acoustics, pool, smart home",Engineering,Arup project page,https://www.arup.com/projects/zlota-44-residential-tower/,Engineer source; technology support and current controls status require present-day verification.,"Flagship chapters 9, 10, 12 and 13; standalone case profile justified."
10,HAUT,Amsterdam,Netherlands,Timber-concrete hybrid residential high-rise,"A timber-concrete composite floor was designed for footfall, acoustics, fire, logistics and flexible residential layouts, with a high-performance façade and building systems.","Materials, acoustics, flexibility",Engineering,Arup project page,https://www.arup.com/projects/haut/,"Not an ultra-prime project in the classic sense; used for performance and material lessons, not luxury branding.",Flagship chapters 6 and 11; material passport deep dive.
11,Elements,Amsterdam,Netherlands,Generative design tied to measurable performance,"Building form was selected against predefined daylight, sunlight, wind comfort and energy performance indicators rather than image alone.","Brief, performance targets, design governance",Engineering and building physics,Arup project page,https://www.arup.com/en-us/projects/elements/,Project under development or recently completed; long-term operation is not yet established.,Flagship chapters 1 and 2.
12,181 Fremont,San Francisco,USA,"Deep excavation, monitoring and resilience-based structural design","Five basement levels, drilled shafts, base mat, shoring and adjacent-structure monitoring are combined with viscous damping and resilience-oriented seismic design.","Ground, basements, structure, resilience",Geotechnical and structural engineering,Arup project page,https://www.arup.com/projects/181-fremont-tower/,"Seismic and soil conditions differ from Israel; principles transfer, project numbers do not.","Flagship chapters 3, 4 and 5; deep-basement article."
13,St. Francis Shangri-La Place,Metro Manila,Philippines,Damped outriggers for comfort and material efficiency,Sixteen dampers in each tower connect the core and perimeter through a damped-outrigger system to limit wind and seismic motion.,"Structure, wind and seismic comfort",Engineering,Arup project page,https://www.arup.com/projects/st-francis-shangri-la-place/,Cost savings are reported by the project engineer and should not be generalized.,Flagship chapter 5; tower-motion deep dive.
14,Cayan Tower,Dubai,UAE,Repeated twist with straight service routes,"Identical floor plates rotate around a central core, reducing wind and solar loads while keeping MEP routes largely vertical within the core and service zone.","Structure, façade, services, climate",Architectural and engineering,SOM project page,https://www.som.com/projects/cayan-tower/,Architect-led source; operational and façade replacement experience is not supplied.,"Flagship chapters 5, 7 and 9."
15,Burj Khalifa,Dubai,UAE,"Shape, wind, critical systems and condensate recovery","The stepped Y-shaped tower disrupts wind patterns, integrates critical backup functions, sky-sourced ventilation and condensate recovery.","Wind, vertical transport, systems resilience",Architectural and engineering,SOM project page,https://www.som.com/projects/burj-khalifa/,Mixed-use benchmark rather than a pure residential case; scale and climate are exceptional.,"Flagship chapters 5, 8 and 9."
