"required_data_field","canonical_field_id","resolution","notes"
"accessibility.features","accessibility.features","existing","Exact dictionary field."
"area.temporal_context","area.temporal_context","new_contract_field","Added as a dated time-of-day and construction-period area evidence collection."
"asset.asset_type","project.asset_type","alias","Uses the single canonical runtime enum residential;commercial_office;retail;mixed_use;hospitality;guide_only at selected-asset scope; product family and UI applicability remain separate."
"building.acoustic_performance","building.acoustic_performance","new_contract_field","Added as scoped measured or designed acoustic evidence."
"building.amenities","building.amenities","new_contract_field","Added as a status-aware operational amenity inventory."
"building.floor_schedule","building.floor_schedule","new_contract_field","Added as the complete versioned legal marketing lift and model level stack; it is not only a version label."
"building.goods_lift","building.goods_lift","existing","Exact dictionary field."
"building.lift_performance","building.lift_performance","existing","Exact dictionary field."
"building.loading_dock","building.loading_dock","existing","Exact dictionary field."
"comparison.office_cost_fields","comparison.office_cost_fields","new_contract_field","Added as the canonical row set for office total-cost comparisons."
"comparison.schema","comparison.schema","new_contract_field","Added as an asset-type-specific comparison contract."
"cost.after_hours_hvac","cost.after_hours_hvac","existing","Exact dictionary field."
"cost.arnona","cost.arnona_rate","alias","The canonical arnona object already includes amount taxable-area basis municipal class year and source; no value is discarded."
"cost.base_rent_monthly","cost.base_rent_monthly","existing","Exact dictionary field."
"cost.parking_monthly","cost.parking_monthly","existing","Exact dictionary field."
"cost.rent_area_basis","cost.rent_area_basis","existing","Exact dictionary field."
"cost.service_charge","cost.service_charge_monthly","alias","The canonical monthly service-charge object includes rate area basis reconciliation VAT and source."
"cost.utility_structure","cost.utility_structure","existing","Exact dictionary field."
"cost.vat_treatment","deal.vat_treatment","alias","VAT treatment is canonicalized once at deal amount level and is attached to each monetary field."
"deal.rent_free_months","deal.rent_free_months","existing","Exact dictionary field."
"deal.security_requirements","deal.security_requirements","existing","Exact dictionary field."
"deal.ti_allowance","deal.ti_allowance","existing","Exact dictionary field."
"derived.cost_per_employee","derived.cost_per_employee","existing","Exact dictionary field."
"derived.total_occupancy_cost","derived.total_occupancy_cost","existing","Exact dictionary field."
"documents.access_policy","documents.access_policy","new_contract_field","Added as the complete classification grant audit expiry and revocation contract."
"documents.availability_schedule","documents.availability_schedule","new_contract_field","Added as the signed schedule document that supports live status records."
"documents.data_room_index","documents.data_room_index","new_contract_field","Added as the versioned data-room inventory and access-state contract."
"documents.floor_pack","documents.floor_pack","new_contract_field","Added as a reconciled selected-floor plan measurement technical and availability bundle."
"entrances.accessible","entrances.accessible","new_contract_field","Added as an end-to-end verified accessible entrance route collection."
"entrances.visitor","entrances.visitor","new_contract_field","Added as visitor-lobby records distinct from the approximate project map center."
"esg.certifications","esg.certifications","existing","Exact dictionary field."
"esg.embodied_carbon","esg.embodied_carbon","new_contract_field","Added as a scoped LCA and materials evidence object."
"esg.energy_intensity","esg.energy_intensity","existing","Exact dictionary field."
"esg.operational_programs","esg.operational_programs","new_contract_field","Added as a status-aware facility program inventory."
"esg.renewable_energy","esg.renewable_energy","new_contract_field","Added as on-site procurement certificate and tenant-choice evidence."
"esg.tenant_data_access","esg.tenant_data_access","existing","Exact dictionary field."
"fire.egress","fire.egress","new_contract_field","Added as extracted selected-floor exits stairs travel constraints and approved-plan reference."
"fire.max_occupant_load","fire.max_occupant_load","existing","Exact dictionary field."
"fitout.approval_process","fitout.approval_process","new_contract_field","Added as structured stages reviewers evidence and timing rather than only a document pointer."
"fitout.base_build_scope","fitout.base_build_scope","existing","Exact dictionary field."
"fitout.brief","fitout.brief","new_contract_field","Added as the buyer-owned revisioned workplace brief."
"fitout.capacity_scenarios","fitout.capacity_scenarios","new_contract_field","Added as multiple source-constrained commercial capacity scenarios."
"fitout.contractor_access","fitout.contractor_access","existing","Exact dictionary field."
"fitout.density_assumption","fitout.density_assumption","existing","Exact dictionary field."
"fitout.duration_range","fitout.duration_range","existing","Exact dictionary field."
"fitout.mandatory_vendors","fitout.mandatory_vendors","new_contract_field","Added as mandatory recommended and prohibited fit-out vendor rules."
"fitout.program_zones","fitout.program_zones","new_contract_field","Added as commercial test-fit zones linked to verified geometry."
"fitout.scenario_type","fitout.scenario_type","existing","Exact dictionary field."
"floor.clear_height","floor.clear_height","existing","Exact dictionary field."
"floor.core_geometry","floor.core_geometry","new_contract_field","Added as structured core columns shafts risers exits and source geometry; this is richer than a document ID."
"floor.dimensions","floor.dimensions","new_contract_field","Added as the dimensioned envelope grid scale and source-plan contract."
"floor.lift_bank","floor.lift_bank_ids","alias","The canonical value is an array because a floor can be served by more than one verified bank."
"floor.live_load_capacity","floor.live_load_capacity","existing","Exact dictionary field."
"floor.number_crosswalk","floor.number_crosswalk","existing","Exact dictionary field."
"floor.occupancy_certificate","floor.occupancy_certificate","new_contract_field","Added because a project-level Form 4 reference is insufficient without floor and use scope."
"floor.permitted_uses","floor.permitted_uses","new_contract_field","Added as allowed conditional and prohibited floor-level use records."
"floor.use_class","floor.use_class","existing","Exact dictionary field."
"floor.view_assets","floor.view_assets","new_contract_field","Added as actual simulated or illustrative visual assets with camera and truth metadata."
"floor.view_obstructions","view.obstructions","alias","The existing canonical obstruction collection is already scoped to the selected view floor or space and retains planning status and sources."
"i18n.commercial_terms","i18n.commercial_terms","new_contract_field","Added as an approved commercial term and prohibited residential-fallback catalog."
"i18n.layout_acceptance","i18n.layout_acceptance","new_contract_field","Added as per-locale per-viewport RTL LTR geometry and device acceptance evidence."
"i18n.page_completeness","i18n.page_completeness","new_contract_field","Added as rendered-text fallback counting and native review evidence."
"inquiry.buyer_brief","inquiry.buyer_brief","new_contract_field","Added as a structured commercial requirement bundle while retaining its component fields."
"inquiry.case_id","inquiry.case_id","existing","Exact dictionary field."
"inquiry.channel_handoff","inquiry.channel_handoff","new_contract_field","Added as case-context continuity and delivery state across contact channels."
"inquiry.contact_preferences","inquiry.contact_preferences","new_contract_field","Added because the existing singular channel field does not cover international phone timezone language and contact window."
"inquiry.context_payload","inquiry.context_payload","new_contract_field","Added as immutable project floor space question document source and locale submission context."
"inquiry.question_ids","inquiry.question_ids","existing","Exact dictionary field."
"lease.delivery_condition","fitout.delivery_condition","alias","Delivery condition has one canonical physical handover contract used by both lease and fit-out surfaces."
"lease.flexibility_rights","lease.flexibility_rights","new_contract_field","Added as assignment subletting expansion contraction and consent terms."
"lease.indexation","deal.indexation","alias","Indexation is canonicalized once in the deal terms object and includes index frequency floor cap lag and source."
"lease.responsibility_matrix","lease.responsibility_matrix","new_contract_field","Added as clause-linked landlord tenant shared and negotiable responsibilities."
"lease.term_structure","lease.term_structure","new_contract_field","Added because the existing simple duration range does not cover breaks notices renewals and commencement."
"market.matched_comps","market.matched_comps","new_contract_field","Added as the selected-asset comparable set with explicit match rationale and adjustments."
"market.rent_comps","market.rent_comps","new_contract_field","Added as a collection distinguishing transactions from asking listings."
"market.submarket_metrics","market.submarket_metrics","new_contract_field","Added as a period geography method and source aware metric collection."
"mep.after_hours_zoning","mep.after_hours_zoning","existing","Exact dictionary field."
"mep.electrical_capacity","mep.electrical_capacity","existing","Exact dictionary field."
"mep.generator_runtime","mep.generator_runtime","new_contract_field","Added separately from generator scope so runtime test load fuel and date are independently refreshable."
"mep.generator_scope","mep.generator_scope","existing","Exact dictionary field."
"mep.hvac_operating_hours","mep.hvac_operating_hours","existing","Exact dictionary field."
"mep.hvac_system","mep.hvac_system","existing","Exact dictionary field."
"mep.metering","mep.metering","existing","Exact dictionary field."
"mep.outside_air_rate","mep.outside_air_rate","existing","Exact dictionary field."
"mep.spare_power_reservable","mep.spare_power_reservable","existing","Exact dictionary field."
"mep.special_services","mep.special_services","new_contract_field","Added as floor-specific service points capacities and approvals."
"mep.ups_scope","mep.ups_scope","existing","Exact dictionary field."
"mobility.airport_routes","mobility.airport_routes","new_contract_field","Added as verified-entrance airport journeys by car transit and accessible mode."
"mobility.current_services","mobility.current_services","new_contract_field","Added as operating-date transit services distinct from future infrastructure."
"mobility.cycling_facilities","mobility.cycling_facilities","new_contract_field","Added as public route plus building rack shower locker and access evidence."
"mobility.drive_time_variability","mobility.drive_time_variability","new_contract_field","Added as a stated sample distribution rather than one average time."
"mobility.future_projects","mobility.future_projects","new_contract_field","Added as a collection with official stage timing range and confidence."
"mobility.peak_drive_times","mobility.peak_drive_times","new_contract_field","Added as buyer-origin peak-window median and high-percentile scenarios."
"mobility.rail_routes","mobility.rail_routes","new_contract_field","Added as entrance-to-platform routes with walking transfers and accessibility evidence."
"places.business_ecosystem","places.business_ecosystem","new_contract_field","Added as sourced organization locations and relevance without implying partnerships."
"places.business_hospitality","places.business_hospitality","new_contract_field","Added as routed hotel conference and visitor-facility records."
"places.daily_services","places.daily_services","new_contract_field","Added as current category-filtered daily service records."
"places.food","places.food","new_contract_field","Added as current lunch and cafe options with routed walk facts."
"privacy.lead_notice","privacy.lead_notice","new_contract_field","Added as the full just-in-time purpose recipient retention rights and processor notice; notice_version alone is insufficient."
"project.cadastral_ids","project.cadastral_ids","existing","Exact dictionary field."
"project.delivery_team","project.delivery_team","new_contract_field","Added as role status scope source and verification records."
"project.leasing_authority","project.leasing_authority","existing","Exact dictionary field."
"project.legal_address","project.legal_address","existing","Exact dictionary field."
"project.legal_name","project.legal_name","existing","Exact dictionary field."
"project.ownership_parties","project.ownership_parties","existing","Exact dictionary field."
"provenance.*","provenance.fact_envelope","new_contract_field","The wildcard requirement resolves to one canonical evidence envelope attached to every material field; source scope dates owner confidence expiry and conflicts are not optional."
"provenance.conflicts","provenance.conflicts","new_contract_field","Added as a retained multi-source conflict registry rather than a single winning value."
"resilience.emergency_pack","resilience.emergency_pack","new_contract_field","Added as a public-safe emergency summary plus controlled current documents."
"risk.environmental","risk.environmental","new_contract_field","Added as scoped environmental screening and site-specific evidence records."
"risk.legal","risk.legal","new_contract_field","Added separately because legal risk requires counsel scope access and expiry rules."
"risk.local_projects","risk.local_projects","new_contract_field","Added as mapped official local works and planning impacts."
"routing.recipient_policy","routing.recipient_policy","new_contract_field","Added as authorization primary fallback escalation and audit configuration; it is distinct from the resulting recipient category."
"routing.response_sla","routing.response_sla","existing","Exact dictionary field."
"security.access_hours","security.access_hours","existing","Exact dictionary field."
"security.access_systems","security.access_systems","existing","Exact dictionary field."
"selection.resolved_floor_id","selection.resolved_floor_id","new_contract_field","Added as the single confirmed floor result shared by model picker URL tools comparison and lead payload."
"seo.schema_in_language","project.schema_language","alias","The canonical locale field drives JSON-LD inLanguage and must equal the rendered HTML language."
"space.availability_owner","availability.owner_role","alias","The canonical accountable status owner is role-based and does not expose private identity."
"space.availability_status","availability.status","alias","The canonical commercial status is already space-scoped and defaults to unknown; it never coerces missing data to available. Residential sale states require their own asset adapter."
"space.availability_verified_at","availability.verified_at","alias","The canonical verification timestamp is attached to the exact selected space status."
"space.contiguous_groups","space.contiguous_group_ids","alias","The canonical array stores every verified contiguous grouping by stable ID; group records resolve separately."
"space.demising_type","space.demising_type","existing","Exact dictionary field."
"space.divisibility","space.divisibility","existing","Exact dictionary field."
"space.earliest_move_in","availability.earliest_operational_occupancy","alias","The canonical field explicitly means earliest lawful operational occupancy after possession fit-out and approvals."
"space.exposures","space.exposures","existing","Exact dictionary field."
"space.hold_expires_at","availability.hold_expires_at","alias","The canonical hold expiry is part of the exact space availability state."
"space.load_factor","space.load_factor","new_contract_field","Added at exact-space scope so a subdivided suite never inherits a floor archetype."
"space.measurement_standard","space.measurement_standard","new_contract_field","Added at exact-space scope because contractual suite measurement may differ from a floor archetype."
"space.parking_allocation","space.parking_allocation","new_contract_field","Added as committed included optional accessible EV and bicycle allocation with expiry."
"space.rentable_area","space.rentable_area","existing","Exact dictionary field."
"space.terraces","space.terraces","existing","Exact dictionary field."
"space.usable_area","space.usable_area","existing","Exact dictionary field."
"suite.exposures","space.exposures","alias","A suite is a selectable space; the canonical exposure array applies to its verified facade frontage and does not inherit whole-floor directions."
"telecom.carriers","telecom.carriers","existing","Exact dictionary field."
"telecom.delivery_lead_time","telecom.delivery_lead_time","new_contract_field","Added as carrier-product ranges with prerequisites sample period and confidence."
"telecom.diverse_entries","telecom.diverse_entries","existing","Exact dictionary field."
"telecom.mmr_and_risers","telecom.mmr_and_risers","new_contract_field","Added as a security-controlled topology inventory; a document ID alone is not a public data model."
"tool.plan.asset","tool.plan.asset","new_contract_field","Added as available requestable not-applicable or unknown plan state so an empty viewer cannot open."
"tool.studio.mode","tool.studio.mode","new_contract_field","Added as asset-type-gated commercial residential retail request or not-applicable mode."
"tool.tour.commercial_model","tool.tour.commercial_model","new_contract_field","Added as a verified captured tour or commercial test fit and explicitly excludes residential synthesis."
"tool.view.asset_type","view.asset_type","alias","The existing canonical truth classification distinguishes actual verified simulated illustrative and unknown visuals."
"transaction.entity_requirement","transaction.entity_requirement","new_contract_field","Added as landlord policy plus separately scoped legal guidance for foreign entities."
"transaction.foreign_lessee_options","transaction.foreign_lessee_options","new_contract_field","Added as structured foreign contracting options with conditions legal and tax flags."
"transaction.kyc_checklist","transaction.kyc_checklist","new_contract_field","Added as purpose retention and security-aware onboarding requirements."
"transaction.tax_considerations","transaction.tax_considerations","new_contract_field","Added as a current issue checklist rather than a definitive unsourced tax answer."
"ux.floor_selection_method","ux.floor_selection_strategy","alias","The canonical strategy enumerates calibrated surface tap mesh hit native floor select or explicit polygon and is tied to calibration evidence."
"ux.mobile_decision_surface","ux.mobile_decision_surface","new_contract_field","Added as the one-view no-nested-scroll real-device release contract."
"ux.orientation_scene","ux.orientation_scene","new_contract_field","Added as a truth and geometry contract joining exposures source scene viewport and locale tests."
"ux.tool_dialog_contract","ux.dialog_contract_version","alias","The canonical version identifies the tested full-screen focus Back close and scroll-behavior contract."
