"sprint_id","priority","workstream","task_id","title","page_id_or_surface","keywords_or_cluster","source_gap","dependencies","acceptance_test","visual_evidence_required","seo_evidence_required","analytics_event","risk","rollback","owner_gate"
"SP-001","P0","trust","T001","Final Stage 1 live proof after UPress pull and cache clear","sitewide","brand trust, all money pages","current_site_evidence partial","UPress theme pull, cache clear","No internal language, no template residue, no obvious trust defects on live public pages","Desktop and 390px screenshots saved with visual notes","Crawl title/H1/canonical/schema on sampled pages","stage1_public_trust_verified","False confidence if cache is stale","Revert theme deploy or purge cache and redeploy previous main","Owner approves screenshot set"
"SP-002","P0","seo_governance","T003","Approve keyword owner registry and manual-review rows","keyword_registry","all 225 Report 2 keywords","keyword_to_page_mapping partial","keyword-to-page-owner.csv","Every keyword has one owner or an explicit manual-review flag","CSV owner index screenshot plus HTML owner page screenshot","No two money pages target the same primary keyword","keyword_owner_registry_approved","Cannibalization if writers bypass registry","Freeze publishing until owner map is restored","Owner approves registry rules"
"SP-003","P0","showroom","T004","Rebuild showroom credibility state model","showroom_3d, project_detail","new projects, branded project leads","visual_design_direction partial","official GLB/facade/floor plans or honest missing state","Clicking an apartment exposes price, view, surroundings, plan, inquiry, and asset status without fake fallback","Mobile and desktop screenshots for overview, unit, missing asset, lead state","Project schema, offer schema, breadcrumb, canonical","showroom_unit_viewed","Prototype may look impressive but use fake assets","Feature flag showroom redesign until real assets exist","Owner approves asset-truth matrix"
"SP-004","P0","listings","T005","Build premium listing card and search foundation","listing_search, listing_detail","דירות למכירה, דירות להשכרה, city buy/rent","listing UX not yet production grade","keyword owner map, design tokens, data contract","Cards show media, location, price, freshness, completeness, lead CTA, and paid placement disclosure","390px map/list/card screenshots with no overflow","ItemList, Offer, BreadcrumbList, canonical/noindex filter rules","listing_card_opened","Leaking ranking internals or sponsor labels in the wrong language","Revert card template and preserve old listing route","Owner approves card language"
"SP-005","P0","design_system","T007","Define WordPress-ready visual tokens and public copy rules","sitewide","brand, trust, investor language","visual_design_direction partial","Lovable prototype cleanup and public language QA","Tokens, buttons, cards, nav, forms, modals, RTL/LTR, icon/fav direction documented and implementable","Token demo screenshot and mobile header screenshot","Consistent headings and schema-safe public labels","design_token_adopted","Prototype copy leaks internal terms or looks generic","Keep prior theme CSS until new tokens pass screenshots","Owner approves visual direction"
"SP-006","P1","homepage","T006","Homepage conversion and authority redesign","home","נדלן, נדלן ישראל, projects, buyers, investors","homepage spec partial","design system and owner-approved language","Above fold positions NadLan as premium project/listing/investor platform with clear routes to projects, cities, tools, and professionals","Desktop, tablet, 390px screenshots","Organization, WebSite, SearchAction, clean H1","homepage_primary_cta_clicked","Marketing page without real product signal","Revert template part","Owner approves screenshot"
"SP-007","P1","projects","T008","New projects hub and city project pages","projects_hub, projects_city_hub","פרויקטים חדשים, דירות חדשות, city project pages","page templates planned, not implemented","keyword map, showroom state model","Hub lists projects with asset completeness, city filters, investor signals, inquiry CTA","Hub and city screenshots at 390px and desktop","CollectionPage, ItemList, Project/Offer where supported","project_hub_filter_used","Thin city pages or duplicate city pages","Noindex city pages until complete","Owner approves first city slice"
"SP-008","P1","international","T015","English foreign-buyer funnel","intl_hub, intl_buy_guide, intl_city_hub","foreign buyers Israel, buy property in Israel, tax/mortgage","foreign buyer engine partial","legal disclaimer, EN copy, concierge routing","English pages explain remote buying, tax, mortgage, projects, concierge without legal overclaiming","EN desktop and mobile screenshots","hreflang, canonical, FAQ where verified","intl_concierge_lead_started","Legal/financial misinformation","Hide or noindex until reviewed","Legal/content review required"
"SP-009","P1","professionals","T010","Professionals hub and city/category taxonomy","professionals_hub, professional_category, professional_city_category","lawyer, mortgage broker, appraiser, architect, designer","professionals normalization partial","category rules and referral disclosure","Professional cards show specialty, city, verification, disclosure, and lead route","Category and city/category screenshots","LocalBusiness/Person only when data is verified","professional_lead_started","Unverified professional claims","Noindex unverified profiles","Owner approves disclosure language"
"SP-010","P1","tools","T009","Core calculators and data tools","tools_hub, mortgage_calculator, purchase_tax_calculator, valuation_tool","mortgage, purchase tax, price per sqm, valuation","tools planned, trust gates pending","official formulas and disclaimers","Tools are useful, source formulas, save/share leads, and link to money pages","Tool form/error/result screenshots","SoftwareApplication, FAQ, canonical","tool_result_generated","Wrong formula creates liability","Disable public result and show review notice","Legal/finance review required"
