id,lang,title,proposed_slug,proposed_url,approved (yes/no),final_slug
L01,he,"אחוזה פרטית של 700 מ״ר על מגרש של 1.1 דונם, הרצליה פיתוח",herzliya-pituach-private-estate-for-sale,https://nad-lan.co.il/properties/herzliya-pituach-private-estate-for-sale/,,
L01,en,"A Private Estate of 700 sqm on a 1.1-Dunam Plot, Herzliya Pituach",en-herzliya-pituach-private-estate-for-sale,https://nad-lan.co.il/en/properties/en-herzliya-pituach-private-estate-for-sale/,,
L07,he,"מיני פנטהאוז חדש עם 80 מ״ר מרפסות, כוכב הצפון",kochav-hatzafon-new-mini-penthouse-for-sale,https://nad-lan.co.il/properties/kochav-hatzafon-new-mini-penthouse-for-sale/,,
L07,en,"New Mini Penthouse with 80 sqm of Terraces, Kochav HaTzafon",en-kochav-hatzafon-new-mini-penthouse-for-sale,https://nad-lan.co.il/en/properties/en-kochav-hatzafon-new-mini-penthouse-for-sale/,,
L08,he,"4.5 חדרים במתחם עם בריכה וספא, מגדלי נאמן",migdalei-neeman-4-5-rooms-for-sale,https://nad-lan.co.il/properties/migdalei-neeman-4-5-rooms-for-sale/,,
L08,en,"4.5 Rooms in a Pool and Spa Complex, Migdalei Ne'eman",en-migdalei-neeman-4-5-room-apartment-for-sale,https://nad-lan.co.il/en/properties/en-migdalei-neeman-4-5-room-apartment-for-sale/,,
L05,he,"3.5 חדרים מרוהטת עם שוכר, רחוב אליהו ברלין",tzukei-aviv-3-5-rooms-furnished-tenanted-for-sale,https://nad-lan.co.il/properties/tzukei-aviv-3-5-rooms-furnished-tenanted-for-sale/,,
L05,en,"Furnished 3.5 Rooms with a Tenant in Place, Eliyahu Berlin Street",en-tzukei-aviv-furnished-3-5-rooms-tenanted-for-sale,https://nad-lan.co.il/en/properties/en-tzukei-aviv-furnished-3-5-rooms-tenanted-for-sale/,,
L04,he,"3 חדרים עם 2 חניות ומחסן, רחוב אליהו ברלין",tzukei-aviv-3-rooms-berlin-for-sale,https://nad-lan.co.il/properties/tzukei-aviv-3-rooms-berlin-for-sale/,,
L04,en,"Three Rooms with Two Parking Spaces, Eliyahu Berlin Street",en-tzukei-aviv-3-room-apartment-for-sale,https://nad-lan.co.il/en/properties/en-tzukei-aviv-3-room-apartment-for-sale/,,
L06,he,"מיני פנטהאוז בחלל כפול מול הים, צוקי אביב",tzukei-aviv-double-height-mini-penthouse-for-rent,https://nad-lan.co.il/properties/tzukei-aviv-double-height-mini-penthouse-for-rent/,,
L06,en,"Double-Height Mini Penthouse Facing the Sea, Tzukei Aviv",en-tzukei-aviv-double-height-mini-penthouse-for-rent,https://nad-lan.co.il/en/properties/en-tzukei-aviv-double-height-mini-penthouse-for-rent/,,
L02,he,"4.5 חדרים בעיצוב מעצבת עם מרפסת לים, ב.ס.ר שרונה",bsr-sarona-designer-4-5-rooms-for-rent,https://nad-lan.co.il/properties/bsr-sarona-designer-4-5-rooms-for-rent/,,
L02,en,"Designer-Finished 4.5 Rooms with a Sea-View Balcony, B.S.R Sarona",en-bsr-sarona-designer-4-5-room-apartment-for-rent,https://nad-lan.co.il/en/properties/en-bsr-sarona-designer-4-5-room-apartment-for-rent/,,
L03,he,"5 חדרים בקומה גבוהה עם נוף לים, ב.ס.ר שרונה",bsr-sarona-5-rooms-sea-view-for-rent,https://nad-lan.co.il/properties/bsr-sarona-5-rooms-sea-view-for-rent/,,
L03,en,"Five Rooms on a High Floor with a Sea View, B.S.R Sarona",en-bsr-sarona-5-room-sea-view-apartment-for-rent,https://nad-lan.co.il/en/properties/en-bsr-sarona-5-room-sea-view-apartment-for-rent/,,
L09,he,"מיני פנטהאוז של 5 חדרים עם נוף לים, נופי ים",nofei-yam-mini-penthouse-5-rooms-for-rent,https://nad-lan.co.il/properties/nofei-yam-mini-penthouse-5-rooms-for-rent/,,
L09,en,"Five-Room Mini Penthouse with a Sea View, Nofei Yam",en-nofei-yam-5-room-mini-penthouse-for-rent,https://nad-lan.co.il/en/properties/en-nofei-yam-5-room-mini-penthouse-for-rent/,,
L10,he,"3 חדרים עם מרפסת של 20 מ״ר ו-2 חניות, נופי ים",nofei-yam-3-rooms-balcony-for-rent,https://nad-lan.co.il/properties/nofei-yam-3-rooms-balcony-for-rent/,,
L10,en,"Three Rooms with a 20 sqm Balcony and Two Parking Spaces, Nofei Yam",en-nofei-yam-3-room-apartment-for-rent,https://nad-lan.co.il/en/properties/en-nofei-yam-3-room-apartment-for-rent/,,
L11,he,"5 חדרים בקומה גבוהה במתחם עם בריכה, רמת אביב",ramat-aviv-5-rooms-pool-complex-for-rent,https://nad-lan.co.il/properties/ramat-aviv-5-rooms-pool-complex-for-rent/,,
L11,en,"Five Rooms on a High Floor in a Complex with a Pool, Ramat Aviv",en-ramat-aviv-5-room-apartment-pool-complex-for-rent,https://nad-lan.co.il/en/properties/en-ramat-aviv-5-room-apartment-pool-complex-for-rent/,,
