"id","domain","title","mode","failLight","wordpressHooks","evidenceRequired"
"R01-001","זהות, מיקום ואינטנט","שם עברי ואנגלי אחד עקבי","data+DOM","orange","post_title | post_name | project_address | nadlan_city | nadlan_compound","field or data path | expected value | observed value"
"R01-002","זהות, מיקום ואינטנט","שדה דב מופיע בכותרת, H1, פתיח, פירורים ומפה","manual-evidence","yellow","post_title | post_name | project_address | nadlan_city | nadlan_compound","field or data path | expected value | observed value"
"R01-003","זהות, מיקום ואינטנט","כתובת, נקודת מפה ואזור תוכן מצביעים לאותו מקום","manual-evidence","yellow","post_title | post_name | project_address | nadlan_city | nadlan_compound","field or data path | expected value | observed value"
"R01-004","זהות, מיקום ואינטנט","עמוד אחד הוא בעל הבית של ביטוי הפרויקט","data+DOM","orange","post_title | post_name | project_address | nadlan_city | nadlan_compound","field or data path | expected value | observed value"
"R01-005","זהות, מיקום ואינטנט","אין כותרת פנימית שמתחרה בעמוד עיר או שכונה","data+DOM","red","post_title | post_name | project_address | nadlan_city | nadlan_compound","field or data path | expected value | observed value"
"R02-001","SERP ו-HTML ציבורי","title ייחודי ומתאים לאורך תצוגה","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R02-002","SERP ו-HTML ציבורי","meta description מציג בחירת דירה, תוכנית, נוף ומחיר","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R02-003","SERP ו-HTML ציבורי","favicon נטען ב-200 ומופיע כ-square crawlable asset","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R02-004","SERP ו-HTML ציבורי","canonical עצמי יחיד","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
"R02-005","SERP ו-HTML ציבורי","H1 יחיד","source","orange","_yoast_wpseo_title | _yoast_wpseo_metadesc | wp_head | public View Source","saved public HTML | line reference | parsed value"
