reference_id,source_owner,source_type,title,url,published_or_effective_at,accessed_at,viewpoint,claim_supported,license_reuse_note,access_note,workpaper_sha256,ship_source_bytes
MR001,Hagag Group,official developer render,Einstein Tower gallery 01,https://www.hagag-group.co.il/Uploads/2023/01/ZNww5uByuTRPva.jpg,2023-01,2026-08-14,close elevated tower facade,"white mineral tower; solid punched-window side; stacked glass and terrace facade; crown setback","All rights presumed held by source owner; visual-reference use only; no redistribution or texture use","Public image on live target project gallery",da533a6a6e95b9daf2b5a15ecd6da7adce4776995e3e10de3d88980d07710fd2,false
MR002,Hagag Group,official developer aerial render,Einstein Tower gallery 02,https://www.hagag-group.co.il/Uploads/2023/01/8mc53qNqkkbGe2.jpg,2023-01,2026-08-14,oblique night aerial,"one slender tower plus two closely paired boutique volumes; continuous podium; corner condition; broad perpendicular streets","All rights presumed held by source owner; visual-reference use only; no redistribution or texture use","Public image on live target project gallery",a8f6ea559c03083938b709d6d505800a9ab68669586720de195975915cbd018f,false
MR003,Hagag Group,official developer aerial render,Einstein Tower gallery 03,https://www.hagag-group.co.il/Uploads/2023/01/0PkUJfNxeAhHnp.jpg,2023-01,2026-08-14,oblique daylight aerial,"white massing; paired boutique roof terraces; glass balcony stacks; street-facing commercial base; one frontage shown with future transit illustration","All rights presumed held by source owner; visual-reference use only; no redistribution or texture use","Public image on live target project gallery",5b8d1a09e79dbba32c0f83727458c1713a2350a8e7dbe1f5c14c0b76403bc5d9,false
MR004,Ynet / VIEWPOINT,secondary published render,Einstein 33 render,https://ynet-pic1.yit.co.il/cdn-cgi/image/f=auto%2Cw=740%2Cq=75/picserver6/crop_images/2026/01/20/HyJl711TrZx/HyJl711TrZx_0_0_3000_2000_0_x-large.jpg,2026-01-20,2026-08-14,oblique daylight aerial,"corroborates three-building white composition and corner podium; labels render as Einstein 33","Copyright Ynet/VIEWPOINT; analysis-only visual reference; no redistribution or texture use","Public image embedded in Ynet report; secondary and project-label scope requires caution",a98233f2e0b994f83a70ea3310cb4e50f8232e0fba2780be7a43e6dd53710a87,false
MR005,Hagag Group,official developer page,EINSTEIN TOWER,https://www.hagag-group.co.il/projects/ResidentProjects/einstein_tower,live_no_visible_date,2026-08-14,project composition text,"28-floor tower beside two 13-floor boutique buildings above commercial areas; Einstein-Levi Eshkol corner","Developer marketing copyright; facts may be cited with scope; no source media shipped","Public target page; not BIM or permit geometry",,false
MR006,Hagag Group,public-company filing,2025 annual report project snapshot,https://www.hagag-group.co.il/Uploads/2026/04/rln33jws7WiMM6.pdf,2025-12-31,2026-08-14,project/parcel text and tables,"parcel 6885/32; 5,099 sqm; tower plus two 13-residential-floor buildings above double commercial base","Public filing; citation/reference only; no extracted art shipped","Company/date bounded; not a dimensioned BIM package",,false
MR007,Israel Land Authority / Planning Administration,statutory allocation appendix,Plan 507-0594929 allocation tables,https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050295.pdf,2018-05-07,2026-08-14,parcel/allocation tables,"parcel 6885/32 area 5,099 sqm and mixed commercial/residential planning context","Public planning record; reference only","Does not provide an approved facade or current survey crosswalk",,false
MR008,Tel Aviv-Yafo Municipality,municipal planning protocol,"Architectural-design committee protocol 20-0005; plan 4695(1)",https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%2020-0005%20%D7%9E%D7%99%D7%95%D7%9D%201-4-20.pdf,2020-04-01,2026-08-14,planning-area diagrams/text,"area-C/lot-33 planning scope; commercial base; maximum planning heights; public-realm level connections","Public planning record; reference only; no extracted drawing is shipped","Design permission scope; not as-built/BIM or exact current facade",,false
MR009,Tel Aviv-Yafo Municipality,municipal GIS query,Parcel and address geometry for block 6885 parcel 32,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527/query?f=json&where=ms_gush%3D6885%20AND%20ms_chelka%3D32&outFields=t_ktovet_melea%2Ct_rechov%2Cms_bayit%2Cknisa%2Ct_bayit_veknisa%2Cms_gush%2Cms_chelka%2Clon%2Clat%2Cdate_import&returnGeometry=true&outSR=2039,layer_import_2026-08-13,2026-08-14,municipal parcel/address context,"parcel 32 points: Einstein 14 (34.788033 32.111886); Einstein 16 (34.788360 32.111894); Einstein 16A (34.788614 32.111910); Levi Eshkol 53 (34.788908 32.111662); establishes dual-frontage context","Municipal open GIS reference; no map tiles or screenshots shipped","Administrative GIS is not a survey or contract schedule; current GLB lacks a signed building-to-parcel transform",,false
MR010,NTA,official construction notice,Infrastructure works at Levi Eshkol-Einstein junction,https://www.nta.co.il/%D7%97%D7%93%D7%A9%D7%95%D7%AA/%D7%A2%D7%91%D7%95%D7%93%D7%95%D7%AA-%D7%AA%D7%A9%D7%AA%D7%99%D7%AA-%D7%91%D7%A9%D7%98%D7%97-%D7%94%D7%90%D7%AA%D7%A8-%D7%91%D7%A6%D7%95%D7%9E%D7%AA-%D7%A9%D7%93%D7%A8%D7%95%D7%AA-%D7%9C%D7%95%D7%99-%D7%90%D7%A9%D7%9B%D7%95%D7%9C-%D7%90%D7%99%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-16726/,2026-07-16,2026-08-14,exact-junction works context,"active Green Line infrastructure work at the named junction; validates construction-context caution only","Official public notice; no source image reused","One-night notice; not project-building construction photography and not a final street layout",,false
