slug,municipal_index_title,municipal_direct_url,generated_html,generated_png,generated_svg,planning_status_as_presented,coverage,source_access,source_access_note,omissions_or_limits
ayalon-roof,קירוי איילון,https://www.tel-aviv.gov.il/Residents/Development/Pages/Ayalon.aspx,projects/ayalon-roof.html,assets/img/ayalon-roof.png,assets/img/ayalon-roof.svg,תכנית אב מאושרת,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו קבצי תכנית, חתכים הנדסיים, הדמיות העירייה או לוח ביצוע, משום שלא נמצא לוח כולל מחייב לכל שלושת המקטעים."
sde-dov,רובע שדה דב,https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDov.aspx,projects/sde-dov.html,assets/img/sde-dov.png,assets/img/sde-dov.svg,תכניות מאושרות ומימוש בשלבים,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו תשריטי תא/4444, נספחי תנועה, טבלאות הקצאה, פרטי מכרזים או הדמיות יזמים. אלה משתנים בין מתחמים ומגרשים."
sde-dov-participation,שדה דב: שיתוף ועדכון הציבור,https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDovPublicParticipation.aspx,projects/sde-dov-participation.html,assets/img/sde-dov-participation.png,assets/img/sde-dov-participation.svg,הליך שיתוף ועדכון מתמשך,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא שוכפלו טפסי הרשמה, פרטי משתתפים, קבצי מצגות, הקלטות או דוחות חיצוניים שמאוחסנים בשירותי צד שלישי."
northwest-3700,צפון מערב: 3700,https://www.tel-aviv.gov.il/Residents/Development/Pages/NorthWest.aspx,projects/northwest-3700.html,assets/img/northwest-3700.png,assets/img/northwest-3700.svg,תכנון מפורט בחמישה מתחמים,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו כל פרוטוקולי ההתנגדויות, טבלאות האיחוד והחלוקה, נספחי הסביבה או שרטוטי חמש התכניות המפורטות."
kikar-atarim,עיר כיכר ים,https://www.tel-aviv.gov.il/Residents/Development/Pages/KikarAtarim.aspx,projects/kikar-atarim.html,assets/img/kikar-atarim.png,assets/img/kikar-atarim.svg,מדיניות והליכי תכנון,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו החלופות הגרפיות, הדמיות, סקרי רוח וצל, מסמכי בעלות או פרוטוקולים מלאים. יש להורידם מן המקור ולבדוק את הגרסה האחרונה."
kfir-renewal,שכונת כפיר,https://www.tel-aviv.gov.il/Residents/Development/Pages/kfirrenewal.aspx,projects/kfir-renewal.html,assets/img/kfir-renewal.png,assets/img/kfir-renewal.svg,תכנית מפורטת בקידום,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו חלוקת המתחמים, זכויות מוצעות, תסקיר חברתי, מצגות מפגש או מסמכי תמורה. יש לבדוק אותם בגרסה העדכנית של התכנית."
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה,https://www.tel-aviv.gov.il/Residents/Development/Pages/ReParacelationHatikva.aspx,projects/hatikva-reparcelation.html,assets/img/hatikva-reparcelation.png,assets/img/hatikva-reparcelation.svg,איחוד וחלוקה במימוש הדרגתי,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו נסחים, טבלאות הקצאה ואיזון, מפות מדידה או מידע אישי על בעלי זכויות. הנתונים בחבילה אינם בדיקת זכויות."
southeast-renewal,"שכונות ניר אביב, נווה חן ונווה אליעזר",https://www.tel-aviv.gov.il/Residents/Development/Pages/KfarShalemSurrounding.aspx,projects/southeast-renewal.html,assets/img/southeast-renewal.png,assets/img/southeast-renewal.svg,מסמך מדיניות מאושר,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללה מפת הסיווג המפורטת לכל מבנה, תסקירים, חלופות או נתוני כדאיות. המסלול לכל בניין מחייב בדיקה פרטנית."
levana-renewal,התחדשות עירונית בשכונת לבנה,https://www.tel-aviv.gov.il/Residents/Development/Pages/Levana.aspx,projects/levana-renewal.html,assets/img/levana-renewal.png,assets/img/levana-renewal.svg,מסמך מדיניות ותכנון המשך,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו מסמכי המפגשים, מפת מתחמי ההתחדשות, תסקיר חברתי או תכניות מפורטות מקומיות."
ramat-hatayasim,התחדשות עירונית בשכונת רמת הטייסים,https://www.tel-aviv.gov.il/Residents/Development/Pages/RamatHatayasim.aspx,projects/ramat-hatayasim.html,assets/img/ramat-hatayasim.png,assets/img/ramat-hatayasim.svg,מדיניות מאושרת ומרחבי מימוש מעודכנים,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו מפת הקווים הכחולים המעודכנת, תסקיר חברתי, מצב כל בניין או לוח הקו הסגול."
florentin,התחדשות עירונית בפלורנטין,https://www.tel-aviv.gov.il/Residents/Development/Pages/Florentin.aspx,projects/florentin.html,assets/img/florentin.png,assets/img/florentin.svg,כמה תכניות ועבודות במקביל,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו תשריטי תנועה, רשימות שימור, לוחות עבודות רחוב, הסדרי חניה זמניים או כל מסמך תכנון של ששת האזורים."
neot-afeka-b,תכנון ופיתוח שכונת נאות אפקה ב׳,https://www.tel-aviv.gov.il/Residents/Development/Pages/NeotAfekaBRenovation.aspx,projects/neot-afeka-b.html,assets/img/neot-afeka-b.png,assets/img/neot-afeka-b.svg,מסמך מדיניות בהכנה ובשיתוף ציבור,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא נכללו שאלוני התושבים, תסקיר חברתי, גבולות קבוצות הבניינים, חלופות בינוי או החלטת ועדה עדכנית."
neve-avivim,תכנון ופיתוח שכונת נווה אביבים,https://www.tel-aviv.gov.il/Residents/Development/Pages/NeveAvivim.aspx,projects/neve-avivim.html,assets/img/neve-avivim.png,assets/img/neve-avivim.svg,מסמך מדיניות בהכנה,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא הועתקה מפת תחום המדיניות, לא הוטמעו פרטי קשר אישיים ולא שוכפלו רכיבי ההיוועצות או קבצים דינמיים. נכון ליום הבדיקה טרם הוצג בחבילה מסמך מדיניות מאושר, משום שהדף העירוני מתאר תהליך הכנה."
yad-eliyahu,התחדשות עירונית בשכונת יד אליהו,https://www.tel-aviv.gov.il/Residents/Development/Pages/YadEliyahu.aspx,projects/yad-eliyahu.html,assets/img/yad-eliyahu.png,assets/img/yad-eliyahu.svg,מדיניות רובעית ותכניות נקודתיות,covered-with-original-text-and-conceptual-visual,blocked-401-on-2026-08-18,העמוד הישיר החזיר 401. העמוד החדש נשען על מקורות משלימים שמופיעים בסוף העמוד ובמטריצת המקורות.,העמוד הישיר של יד אליהו לא היה נגיש והחזיר 401. החבילה אינה משכפלת את הטבלה העירונית האפשרית ואינה מתיימרת למנות את כל התכניות וההיתרים בשכונה. התוכן נבנה ממקורות עירוניים חלופיים ומסומן בהתאם.
carmel-market,שוק הכרמל,https://www.tel-aviv.gov.il/Residents/Development/Pages/CarmelMarket.aspx,projects/carmel-market.html,assets/img/carmel-market.png,assets/img/carmel-market.svg,עבודות חידוש והסדרה בביצוע,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא שוכפלו גלריות, טפסי רישוי, מסמכי הנחיות לדוכן, פרטי קשר משתנים או רשימת המבזקים הדינמית. לא נבנתה מפת חסימות. לוחות זמנים נקודתיים חייבים להיבדק במבזק האחרון."
central-station,התחדשות התחנה המרכזית,https://www.tel-aviv.gov.il/Residents/Development/Pages/CentralStation.aspx,projects/central-station.html,assets/img/central-station.png,assets/img/central-station.svg,מדיניות חדשה בהכנה,covered-with-original-text-and-conceptual-visual,retrieved-or-indexed-during-research,עמוד הליבה העירוני שימש נקודת מוצא. עובדות הוצלבו במקורות נוספים כאשר היה צורך.,"לא שוכפלו טבלאות דינמיות, גלריה, מצגות או מסמכי שיתוף ציבור שאינם גלויים בטקסט הסטטי. החבילה אינה כוללת תכנית לפינוי האוטובוסים, מיפוי בעלויות, בדיקה הנדסית של המבנה או חלופה אדריכלית מדויקת."
