aspect,source_finding,source_ids,current_model_state,assessment,exact_discrepancy,recommended_model_architecture,claim_boundary
target_identity,"Einstein 33A / Einstein Tower; Einstein 14; block 6885 parcel 32; planning area G / lot 33",IVS001;IVS005;IVS007;IVS008;IVS013;IVS014,"project_contract_id=einstein-tower-6885-32; representation Einstein 33A",pass,"No target mixing found in current model metadata","Retain immutable project_contract_id and source IDs at scene and hotspot level","Never import Einstein 35 or adjacent schemes"
building_count,"One tower plus two lower/boutique buildings over commerce",IVS001;IVS003;IVS004;IVS008;IVS014,"Tower_28_Level_Massing + Boutique_A_13_Level + Boutique_B_13_Level",pass_high_level,"Permit prose calls them three residential towers once but immediately resolves morphology as one 28-floor tower plus two 13-floor blocks","Keep one tall plus paired lower composition; use neutral A/B names until a signed transform assigns orientation","Do not reinterpret all three as equal towers"
relative_heights,"28-floor tower and two 13-floor lower buildings; planning envelope allows up to 30 and 14",IVS001;IVS005;IVS008;IVS014,"Tower top about 93 m; lower caps about 47.8 m; ratio about 1.95",pass_illustrative,"All facade loops use a generic 3 m module; the design protocol allows typical residential floors up to 3.5 m and top three up to 4.5 m","Preserve 28/13 visual count but separate residential-level metadata from decorative bands and crown massing","Not a certified height or selectable-floor schedule"
parcel_envelope,"Irregular elongated 5099 sqm parcel; GIS bbox about 108.9 m east-west by 62.2 m north-south",IVS007,"One 70 x 46 m rectangular podium and no parcel polygon",fail,"Uniform slab suppresses parcel taper/corner and consumes an invented footprint","Add non-rendering parcel polygon layer; fit project components only after a two-point-plus-north municipal/architectural crosswalk","Parcel polygon is not a building footprint"
permit_locus,"Permit records reuse a 664.7 sqm polygon about 22.7 x 36.6 m at the parcel west end",IVS008;IVS009;IVS010,"Tower illustrated at x=12 z=-4 without municipal transform",partial_clue_only,"Potential west building/application locus is not linked to current tower mesh and cannot represent all three volumes","Store as a municipal application-locus layer; use only as orientation clue until archive plan confirms what the polygon denotes","Do not scale tower or infer all footprints from this polygon"
building_footprints,"Official renders and plan sheet support topology but no audited current footprint dimensions were extracted",IVS003;IVS004;IVS005,"Tower 18 x 18 m; lower blocks 18 x 15 m; hand-positioned",withheld,"Dimensions and spacing are generator choices, not source-derived","Use parameter objects with evidence status per dimension; replace after permit-plan extraction","No BIM/survey/as-built claim"
tower_facade_family,"Strong asymmetry: light solid punched planes contrasted with a broad glazed/terrace stack",IVS002;IVS003;IVS004,"Punched windows repeated on opposing Z faces and one X face; one glass strip; five full-height decorative fins",partial,"Current tower is too regular and mirrored; exact module repetition dominates the silhouette","Create four facade-family masks: principal glass/terrace stack; primary punched plane; secondary narrow plane; service/solid plane; tune proportions from orthogonal source views","No cardinal facade label until crosswalk"
tower_crown,"Large asymmetric stepped crown with a tall glazed terminal volume and recessed terrace/wing",IVS002;IVS003;IVS004,"Three simple stacked boxes near the top",fail_visual,"Current crown is too small generic and horizontal; it loses the project's strongest visual identifier","Build crown as separate evidence-tagged volumes with one tall glazed terminal bay one recessed wing and concealed technical core","No penthouse amenity or roof-equipment claim"
lower_building_facades,"Paired volumes with light solid planes stacked balcony/glass bands and roof setbacks",IVS003;IVS004,"Near-cloned 18 x 15 m blocks with identical glass stack slots and fins",partial,"Twins are over-identical and lack source-observed facade hierarchy/setback nuance","Keep a shared kit of parts but vary facade mask setback depth and roof composition only where visible in official views","No exact balcony count or orientation claim"
balcony_alignment,"Municipal protocol requires balconies fully aligned except isolated exceptional points",IVS005,"Tower balcony bands are omitted at generated floors 24 and 25; other bands repeat continuously",review_required,"A two-level gap reads as skipping but has no cited exceptional-point basis","Either cite/source the gap or model it as a non-balcony facade reveal; validate vertical balcony continuity by facade family","Decorative band count is not floor inventory"
material_family,"Light dry-hung stone and/or manufactured aluminum panels; clear insulated low-e glass; exterior reflectivity max 14 percent and light transmission at least 50 percent",IVS005,"Light mineral material glass panels and a mesh/material family named Champagne_Fins",partial,"Broad palette is right but champagne finish is not evidenced and glass properties are not tied to planning values","Rename speculative finish neutrally; expose PBR presets as planning-family approximations; keep product/finish unknown","Never label contractor finish or supplied product"
commercial_podium,"Two commercial base floors; active accessible covered fifth facade/roof; separate commercial street level",IVS001;IVS005;IVS008;IVS014,"Double-level podium concept but one solid rectangular mass with a thin top plate",partial_to_fail,"Correct count but wrong spatial richness: no grade transition active roof access retail rhythm or separated levels","Split podium into street commerce neighborhood/residential deck and public roof layers; add stairs/ramps/passage seams after target-sheet crop","No tenant doors or final commercial plan"
public_open_space,"Two planning-area-G public open spaces totaling about 1230 sqm with seating planting and children area; continuous public easements and cycle/pedestrian passage",IVS005,"Four generic terrace slabs plus 24 planters and abstract poster trees",fail,"Source-backed public realm is reduced to decoration and is not navigable or legible","Add named layers for public open spaces public easement spine planting/shade/play/seating and accessible connections; keep exact shapes provisional until crop/crosswalk","Public use not private resident amenity"
public_roof,"Commercial roof must be landscaped active accessible and public with play shade seating planting and pedestrian/cycle passage",IVS005;IVS012,"Landscape_Terraces sit on the podium without public-access semantics or circulation",partial_geometry_fail_semantics,"Model suggests greenery but not the required public function or path network","Give roof a distinct source-backed public-realm component and hotspot; show route from neighborhood level; separate from generated facility concept","Do not call it residents-only terrace"
public_building,"Planning area G includes separate 1300 sqm early-childhood treatment center plus four daycare classes; entries from Levi Eshkol and Yuval Neeman",IVS005,"Omitted",fail_context,"A documented decision-relevant community component is absent","Add a context/public-building placeholder only after isolating its target-sheet footprint; attach public-use information layer","Not a private project facility and not proof of current operation"
vehicle_and_parking,"Vehicle entrance for lot 33 from Einstein; current permit states four parking floors",IVS005;IVS008,"No entry seam or below-grade section",fail_decision_support,"Buyer cannot understand arrival servicing or underground scale","Add source-backed vehicle-entry hotspot and optional cutaway showing four parking levels schematically; keep stall counts absent","No stall entitlement or exact ramp geometry"
residential_commercial_entries,"Residential/public entrances at neighborhood level; commerce at Einstein level; current permit explicitly requests a ground-floor lobby",IVS005;IVS008,"No entrance hierarchy; one abstract gold canopy in poster",fail_decision_support,"The model does not explain level change or which threshold serves which use","Add separate residential-arrival commercial-edge and public-building entry categories; use approximate anchors until plan doors are extracted","Exact door position remains owner interpolation"
roof_pools,"Planning protocol permits case-by-case review; 2025 municipal record is an unpermitted request for private pools on residential roof terraces",IVS005;IVS010,"No pool mesh",correct_withheld,"Omission is safer than claiming a facility","Optional application-state toggle may visualize private roof-pool concept only with status and date; exclude from default factual layer","Not approved built shared or guaranteed"
interiors_and_facilities,"No official apartment interior specification unit plan or private amenity schedule was found; gallery interiors are render scenery",IVS001;IVS002;IVS005,"Four local owner-approved concept images; decision_grade=false; no source pixel reuse",pass_semantics_needs_placement,"Concept status is correct; positions need explicit basis confidence and replacement metadata","Use hotspot-placement-crosswalk.csv; keep source-backed site layers separate from selectable owner-approved concepts","Owner-approved illustrative mapping is permitted and is not a blocker"
triangle_budget,"No source sets triangle count; owner target is at least 30000",local_validator,"39840 indexed triangles; 79680 vertices; HD 2400052 bytes",pass_technical,"Most triangles come from repeated facade boxes; polygon count does not equal evidence accuracy","Keep performance budget but measure fidelity with crosswalk coverage silhouette error and source-constrained components","Never market triangle count as architectural accuracy"
poster,"Official visuals emphasize asymmetric crown facade contrast active podium and actual corner scale",IVS002;IVS003;IVS004,"23996-byte pastel axonometric with uniform slab abstract roads and sparse trees",fail_premium_fidelity,"Readable but generic; does not convey arrival public realm level change or distinctive crown","Regenerate from corrected model with three-quarter site view; clearly show crown facade contrast public roof and two street edges; remain original/non-derivative","Do not reproduce source render pixels or composition one-to-one"
