id,path,parent,canonical,h1,title,meta,excerpt,word_count,phase,robots,schema_notes,visual,og_image,alt
UP-000,/guides/ultra-prime-construction/,/guides/,https://nad-lan.co.il/guides/ultra-prime-construction/,איך בונים פרויקט מגורי אולטרה-פריים: מהקרקע ועד שנת הפעילות ה-15,איך בונים פרויקט מגורי אולטרה-פריים | מהקרקע עד שנת 15,"מה עושה יזם שרוצה לבנות את פרויקט המגורים הטוב ביותר האפשרי: קרקע, שלד, מעטפת, מערכות, שירות, ספא, מסירה ותחזוקה עד שנת ה-15.","מסע מן הבריף הראשון ועד התקלה הראשונה, דרך הקרקע, השלד, החזית, המערכות, המלון הנסתר והתחזוקה שמחזיקה את היוקרה בחיים.",7946,Launch,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V01,V01 responsive 1200x630 crop plus article-native wide version,"איור חתך של מגדל מגורים מהקרקע והיסודות, דרך המרתפים והדירות, ועד הגג ומערכות התחזוקה"
UP-101,/guides/groundwater-deep-basements/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/groundwater-deep-basements/,מרתפים עמוקים ומי תהום בפרויקט יוקרה: מה קורה מתחת ללובי,מרתפים עמוקים ומי תהום בפרויקט יוקרה | מדריך,"לפני שהמגדל עולה, הפרויקט יורד לאדמה. כך בודקים קרקע, דיפון, מי תהום, איטום, חניה, משאבות וניטור שכנים בפרויקט שאפתני.","החפירה, הדיפון, מי התהום והעיר התפעולית שמתחת ללובי קובעים אם המרתף יישאר יבש, נגיש ונוח לאורך שנים.",1831,Launch,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V05,V05 responsive 1200x630 crop plus article-native wide version,"חתך סכמטי של חפירה עירונית עם קיר דיאפרגמה, מי תהום, איטום, משאבות, מרתפים וניטור בניין סמוך"
UP-102,/guides/tall-building-wind-comfort/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/tall-building-wind-comfort/,רוח ותנועת מגדלים: איך בניין גבוה נשאר נוח למגורים,רוח ותנועת מגדלים | איך בניין גבוה נשאר נוח,"מגדל יכול להיות בטוח ועדיין לנוע באופן שמפריע לדיירים. כך מתכננים צורה, שלד, שיכוך, רצפות ומרפסות לנוחות ברוח.","ההבדל בין חוזק לנוחות, הדרך שבה הרוח פוגשת את הצורה, ומערכות השיכוך שמונעות מן הדייר להרגיש כל משב.",1820,Stage 2,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V07,V07 responsive 1200x630 crop plus article-native wide version,"איור של מגדל מגורים עם ליבה, מערכות שיכוך וחצים המדגימים עומסי רוח ותנועה מוגדלת לצורכי הסבר"
UP-103,/guides/residential-tower-envelope-glass/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/residential-tower-envelope-glass/,מעטפת וזכוכית במגדל מגורים: מה בודקים מעבר לנוף,מעטפת וזכוכית במגדל מגורים | מה בודקים,"חזית יוקרתית צריכה לעצור מים, אוויר, חום ורעש, ולאפשר ניקוי והחלפה. מדריך לזכוכית, איטום, בדיקות ותחזוקה.","חזית היא מכונת אקלים: זכוכית, מסגרות, אטמים, ניקוז, הצללה וגישה לתחזוקה עובדים יחד מול רוח, גשם ושמש.",1834,Launch,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V03,V03 responsive 1200x630 crop plus article-native wide version,"חתך סכמטי של מעטפת מגדל עם זכוכית בידודית, אטמים, ניקוז, בידוד, הצללה וחיבור לשלד"
UP-104,/guides/residential-service-flows/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/residential-service-flows/,"המלון הנסתר במגדל מגורים: דיירים, צוות, משלוחים ואשפה",המלון הנסתר במגדל מגורים | מסלולי שירות,"לובי יפה אינו מייצר שירות חלק. כך מתכננים כניסה, מעליות, חדרי צוות, חבילות, מעבר דירה ואשפה בלי לפגוע בפרטיות.","המסלולים שמאפשרים לדייר, אורח, צוות, שליח וטכנאי להשתמש באותו בניין בלי להפוך את הלובי לתחנת תפעול.",1837,Stage 2,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V06,V06 responsive 1200x630 crop plus article-native wide version,"תרשים מסלולים נפרדים לדיירים, אורחים, צוות, משלוחים, אשפה ותחזוקה בתוך מגדל מגורים"
UP-105,/guides/building-resilience-power-water-air/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/building-resilience-power-water-air/,"חשמל, מים ואוויר בזמן תקלה: עמידות תפעולית בבניין יוקרה","חשמל, מים ואוויר בזמן תקלה בבניין יוקרה","מה ממשיך לעבוד כשהחשמל נופל, משאבה נעצרת או גל חום מגיע. מדריך לגנרטור, UPS, לחץ מים, מיזוג ובקרה.","רשימת העומסים הקריטיים, משאבות הגיבוי, האוויר הצח ומערכת הבקרה שקובעים כיצד הבניין נכשל וכיצד הוא מתאושש.",1857,Stage 2,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V08,V08 responsive 1200x630 crop plus article-native wide version,"מפת המערכות הנסתרות בבניין מגורים הכוללת חשמל, מים, מיזוג, אוויר צח, ניקוז, תקשורת ובקרה"
UP-106,/guides/private-service-car-lifts/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/private-service-car-lifts/,"מעלית פרטית, מעלית שירות ומעלית רכב: מה באמת קובע את החוויה","מעלית פרטית, שירות ורכב | מה באמת בודקים","מהירות היא רק חלק מן הסיפור. כך בודקים זמן המתנה, פרטיות, רעש, חילוץ, שירות וחלפים במעליות ובחניה אוטומטית.","מניתוח תנועה ועד חוזה השירות: המערכת שמביאה דייר, אורח, ספה או רכב לקומה הנכונה ונשארת זמינה בעת תקלה.",1839,Stage 2,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V06,V06 responsive 1200x630 crop plus article-native wide version,"תרשים אנכי של מעליות דיירים, מעלית שירות ומעלית רכב עם מסלולים נפרדים בתוך מגדל מגורים"
UP-107,/guides/new-apartment-acoustics/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/new-apartment-acoustics/,אקוסטיקה בדירה חדשה: איך רעש עוקף קירות ונכנס הביתה,אקוסטיקה בדירה חדשה | איך רעש עוקף קירות,"קיר עבה אינו מספיק. מדריך לרעש אווירי, רעש הולם, מעליות, צנרת, חזית, רצפות צפות, בידוד רטט ובדיקות שטח.","רעש עובר דרך רצפות, פירי שירות, צנרת וחיבורים. כך הופכים שקט ופרטיות ליעדי תכנון שניתן לבדוק ולתחזק.",1834,Stage 2,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V13,V13 responsive 1200x630 crop plus article-native wide version,"חתך אקוסטי של שתי דירות המדגים רעש אווירי, רעש הולם, נתיבי עקיפה ובידוד רטט של ציוד"
UP-108,/guides/luxury-residential-pool-spa/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/luxury-residential-pool-spa/,"בריכה וספא בבניין יוקרה: ההנדסה, התפעול והעלות שמאחורי המים",בריכה וספא בבניין יוקרה | ההנדסה מאחורי המים,"בריכה, ספא, סאונה וחדר כושר נראים נהדר בהדמיה. כך בודקים קיבולת, טיפול במים, לחות, רעש, כוח אדם ותחזוקה.","המים הם רק החלק הנראה. מאחוריהם פועלים סינון, חיטוי, אוורור, איטום, חדרי מכונות וצוות שמחזיק את המתקן פתוח.",1817,Launch,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V09,V09 responsive 1200x630 crop plus article-native wide version,"חתך של בריכת מגורים וספא עם תעלות גלישה, סינון, חיטוי, אוורור, חדר מכונות ומסלול החלפת משאבה"
UP-109,/guides/material-passport-luxury-home/,/guides/ultra-prime-construction/,https://nad-lan.co.il/guides/material-passport-luxury-home/,"דרכון חומרים בדירת יוקרה: אבן, עץ, מתכת וזכוכית בלי ניחושים","דרכון חומרים בדירת יוקרה | אבן, עץ וזכוכית","שם של מותג אינו מפרט. כך מתעדים מקור, אצווה, ביצועים, התקנה, ניקוי, אחריות ומלאי חלופי לחומרים בדירה ובבניין.","דרכון חומר הופך אבן, עץ, מתכת וזכוכית ממראה חד פעמי למערכת מתועדת שניתן לנקות, לתקן ולהחליף.",1839,Stage 2,"index,follow after QA; draft/noindex while unpublished",Article + BreadcrumbList; Organization/Website only from the site-wide source; no duplicate schema plugin; author/reviewer only if real; dateModified required after actual edit.,V10,V10 responsive 1200x630 crop plus article-native wide version,"כרטיס דרכון חומר לאבן טבעית עם מקור, אצווה, בדיקות, מיקום, שיטת התקנה, ניקוי, אחריות ומלאי חלופי"
