"item_id","area","decision","implementation_spec","why_this_way","acceptance_gate","evidence_or_source","status"
"AW-001","source_of_truth","Keep the repository war-room as the controlling source until the fields stabilize; mirror approved fields into WordPress admin later.","The repo continues to hold CSV, HTML, screenshots, audits, and source manifests. WordPress receives only stable registry fields after owner review.","This prevents a rushed admin build from becoming another disconnected store of partial research.","Every admin field must trace back to a repo file, row id, screenshot, or approved source note.","strategy/war-room/master-war-room-execution-spec.md; strategy/war-room/current-evidence-register.csv","ready_to_spec"
"AW-002","registry_content_type","Create a private WordPress admin content type named ndl_keyword_registry for keyword and page ownership.","Register it on init, show it in admin, keep it out of public search and public URLs, enable revisions and REST only for controlled admin integration.","A private registry gives writers one controlled place to check ownership without exposing strategy publicly.","Admin users can create, filter, revise, export, and review registry rows without public archive pages.","WordPress register_post_type documentation: https://developer.wordpress.org/reference/functions/register_post_type/","ready_to_build"
"AW-003","registry_fields","Store canonical keyword owner, URL owner, page template, funnel role, language, status, writer gate, source gate, legal gate, asset gate, last review date, and internal-link targets.","Use registered meta or ACF field groups. Every field needs sanitization, permissions, and import/export mapping.","The anti-cannibalization system only works if writers cannot publish from memory or guesswork.","A registry row cannot be marked approved unless owner, URL, status, and gate fields are complete.","WordPress register_meta documentation: https://developer.wordpress.org/reference/functions/register_meta/; ACF resources: https://www.advancedcustomfields.com/resources/","ready_to_build"
"AW-004","admin_list_views","Build list views for money pages, city hubs, project pages, professional pages, foreign-investor pages, guides, missing pages, stale pages, and blocked pages.","Use native list table columns or Admin Columns Pro for filter, sort, inline edit, bulk edit, and export.","The owner needs a live worktable, not a hidden document archive.","A non-technical manager can filter all open Tel Aviv buyer keywords, all stale pages, and all blocked writer items in under one minute.","Admin Columns ACF page: https://www.admincolumns.com/advanced-custom-fields/","ready_to_build"
"AW-005","workflow_statuses","Use custom workflow statuses for idea, assigned, writing, source check, legal check, asset check, owner review, ready to build, published, refresh needed, and blocked.","Use custom statuses and planner views for editorial governance; do not rely only on post drafts.","A draft/published binary state is too weak for money keyword governance.","A content item visibly shows which gate is blocking it and who owns the next action.","PublishPress Statuses: https://wordpress.org/plugins/publishpress-statuses/","ready_to_build"
"AW-006","writer_publish_gate","Block or warn before publishing if content lacks keyword owner, canonical URL owner, source notes, legal gate, asset truth, and internal links.","Implement as an admin pre-publish validation layer for posts, pages, projects, listings, and guides.","This is the practical protection against SEO cannibalization and thin content.","A writer cannot publish a money page that conflicts with an existing canonical owner or lacks required gates.","strategy/24-source-of-truth-cannibalization-system.md","ready_to_spec"
"AW-007","editorial_calendar","Use an editorial planner for scheduled pages, refresh cycles, assignments, and backlog status.","PublishPress Planner can provide calendar and overview. Keep strategic registry ownership separate from task scheduling.","Calendar tools are useful for delivery timing, but they are not the source of keyword truth.","The calendar shows when pages are planned or refreshed, while the registry still owns keyword decisions.","PublishPress Planner: https://publishpress.com/planner/","ready_to_build"
"AW-008","delivery_tasks","Use a project-management plugin only for execution tasks, not for canonical keyword ownership.","WP Project Manager can track Kanban, milestones, task reporting, and responsibility, but it must link back to registry ids.","Generic task boards do not prevent content cannibalization by themselves.","Every task card includes registry id, page id, owner, screenshot gate, and acceptance notes.","WP Project Manager: https://wordpress.org/plugins/wedevs-project-manager/","ready_to_build"
"AW-009","evidence_panel","Add an admin evidence panel that links to desktop and mobile screenshots, visual QA notes, source documents, and release checks.","Each major page or registry row should reference saved screenshots and QA notes in the repo.","The owner asked for screenshot proof, not verbal completion claims.","A row without required screenshots is visibly incomplete and cannot be marked ready.","strategy/war-room/current-evidence-register.csv","ready_to_build"
"AW-010","asset_truth_gate","Require asset status fields for real, reused, illustrative, missing, or contractor needed.","Attach source, license/permission, capture date, and replacement plan.","Real estate pages lose trust when placeholder images are treated as real.","Any project page or listing detail shows internal asset truth before public publication.","strategy/war-room/showroom-rebuild-execution-packet.csv","ready_to_build"
