"item_id","area","decision","implementation_spec","why_this_way","acceptance_gate","evidence_or_source","status"
"II-001","positioning","Create a dedicated English investor funnel for people buying property in Israel, not a machine translation of Hebrew pages.","Write persona-specific English pages under /en with their own questions, trust blocks, sources, and concierge CTA.","Foreign buyers need remote-process, tax, mortgage, language, and trust answers before they click a project.","First /en page screenshot shows foreign-buyer copy, source dates, legal caveat, and project paths.","strategy/war-room/international-investor-page-map.csv","ready_to_build"
"II-002","url_architecture","Use separate URLs for English pages and reciprocal language annotations when matching Hebrew versions exist.","Keep /en as the English hub and use matching canonical/hreflang decisions per route.","Google recommends different URLs for language versions and hreflang when alternates exist.","Each indexable English route has canonical and language alternate decisions in the page map.","Google international SEO: https://developers.google.com/search/docs/specialty/international/managing-multi-regional-sites","ready_to_build"
"II-003","first_pages","Build the first English set: /en, /en/buy-property-israel, /en/buy/tel-aviv, /en/projects/tel-aviv, /en/tax/foreign-buyer-purchase-tax, /en/mortgage/foreign-buyers.","Start with pages that connect project monetization, city demand, due diligence, and concierge leads.","This gives contractors an investor-facing asset without pretending the full English universe is done.","All six first pages have owner-approved screenshots, no legal overclaims, and source notes.","strategy/war-room/page-architecture-map.csv","ready_to_build"
"II-004","project_showroom","Every premium project page needs an English project path and showroom path only after source and asset gates are passed.","Project pages must show asset truth, price bands if approved, unit interest, map/view context, and concierge CTA.","Foreign buyers are a high-value audience for 3D showrooms, but fake assets destroy trust.","Project screenshot shows official/real/missing asset state and no fake tour claims.","strategy/war-room/showroom-rebuild-execution-packet.csv","ready_to_build"
"II-005","tax_content","Tax pages must link to official Tax Authority sources and carry legal review status.","Use official purchase tax pages and official calculator links. Do not publish brackets without date/source and review.","Tax guidance is high risk and changes over time.","Tax page cannot be indexed until source date and reviewer status are visible internally.","Israel Tax Authority real estate tax: https://www.gov.il/en/departments/topics/realty_taxation; simulator: https://www.gov.il/en/service/real_eatate_taxsimulator","ready_to_build"
"II-006","mortgage_content","Mortgage pages must be reviewed by a qualified advisor and source macro/rate context from official banking sources where relevant.","Explain process and questions; do not promise approval, LTV, rates, or timelines.","Foreign buyer mortgage questions are conversion drivers and legal/finance risk.","Mortgage guide screenshot shows caveat, advisor CTA, and no rate promise.","Bank of Israel: https://www.boi.org.il/en/","ready_to_build"
"II-007","concierge_funnel","Create one foreign-buyer concierge flow with country, language, budget band, project interest, timeline, intent, and preferred contact channel.","Use bands and categories. Store contact in CRM/form system, not analytics.","Concierge is the bridge from SEO traffic to monetization and human handling.","Lead payload includes route, language, country, budget band, project id if present, and consent status.","strategy/war-room/analytics-event-dictionary.csv","ready_to_build"
"II-008","trust_and_safety","Create English trust pages for safe buying, fake listings, professional verification, and remote purchase checks.","Link from every English money page to trust content and verified professional routes.","Cold international visitors need proof before engaging.","Trust page screenshot includes checklist, source notes, and clear professional routing.","strategy/war-room/admin-war-room-execution-packet.csv","ready_to_build"
"II-009","professionals","English professional categories must show language, verification method, disclosure, city, and inquiry route.","Start with lawyers, mortgage advisors, property management, and realtors.","Professionals are part of the foreign-buyer funnel and a revenue layer.","No profile appears as verified without verification record.","strategy/war-room/page-architecture-map.csv","ready_to_spec"
"II-010","currency_and_units","Show prices and areas in buyer-friendly formats only when source data is approved.","Use shekel as source currency, optional approximate USD/EUR display with rate source and timestamp later.","Foreign buyers compare across currencies, but stale conversion rates create liability.","No currency conversion appears without source and timestamp.","Bank of Israel representative rates page via https://www.boi.org.il/en/","ready_to_spec"
"II-011","content_governance","Every English page gets canonical owner, source date, legal gate, reviewer, and internal-link targets in the registry.","Do not let English pages become duplicate Hebrew translations or unsupported SEO fragments.","This prevents international content from cannibalizing Hebrew money pages or spreading thin pages.","Registry row exists before writing starts.","strategy/war-room/keyword-to-page-owner.csv","ready_to_build"
"II-012","future_languages","Keep FR/RU/AR as future reviewed language tracks, not automatic mirrors.","Build EN first. Add other languages only when source review, native copy, and route ownership exist.","Bad translations reduce trust and can create legal problems.","No future-language route is indexable without owner-approved content and review.","handoff/lovable/2026-06-23-war-room-sync/reports/00-strategy-brief.md","ready_to_spec"
"II-013","abroad_expansion","Create a separate Israelis-investing-abroad track for Cyprus, Greece, Dubai, and Thailand, but keep it noindex until official country source packs exist.","Use /abroad/{country} for Hebrew Israeli-investor pages. Do not mix them into the /en Israel buyer funnel.","This lets NadLan expand without signalling that the whole site is a non-Israel brokerage.","Country page remains noindex until local legal/tax/source/asset gates pass.","docs/master-plan-and-sequencing.md","ready_to_spec"
"II-014","abroad_linking","Limit internal links to abroad pages until Israeli authority is stable.","Link abroad only from investment and tool contexts, not from every main navigation surface at launch.","The site must remain centered on Israeli real estate while testing abroad demand.","Internal-link audit shows abroad pages are a small controlled cluster.","docs/master-plan-and-sequencing.md","ready_to_spec"
"II-015","analytics","Measure language switch, English page route, project interest, tax/mortgage guide engagement, concierge start, and concierge submit.","Use the analytics dictionary events language_switch, intl route engagement, and generate_lead with lead_type=foreign_buyer.","The funnel must prove value to contractors and advisors.","Debug screenshots exist for English route and concierge submit before dashboard claims.","strategy/war-room/analytics-event-dictionary.csv","ready_to_build"
"II-016","screenshots","Every international page build needs desktop and 390px screenshots plus visible text review.","Check language, legal caveat, source links, form states, no horizontal overflow, and no fake assets.","The user requires visual proof and readable owner artifacts.","Screenshots are saved and linked from evidence register.","strategy/war-room/owner-output-index-rtl.html","ready_to_build"
