keyword,language,cluster,subcluster,audience,country_market,intent,funnel_stage,priority,recommended_page_type,suggested_slug,primary_kpi,content_angle,trust_requirement,verification_flag,notes
בדיקת דירה לפני קניה,he,Buyer Seller Core,due diligence,buyers,IL,due_diligence,consideration,P0,checklist,/apartment-due-diligence,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
דירות להשקעה בישראל,he,Buyer Seller Core,investment,local investors,IL,commercial,consideration,P0,investment hub,/israel-investment-apartments,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
הערכת שווי דירה,he,Buyer Seller Core,property valuation,owners/sellers,IL,commercial,consideration,P0,property-value-estimator,/value-estimator,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
כמה שווה הדירה שלי,he,Buyer Seller Core,property valuation,owners/sellers,IL,commercial,consideration,P0,property-value-estimator,/value-estimator,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
לקנות דירה בישראל מדריך,he,Buyer Seller Core,buying process,first-time buyers,IL,commercial,consideration,P0,guide,/buying-apartment-israel-guide,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
מחיר למטר בתל אביב,he,Buyer Seller Core,price per sqm,Israeli buyers,IL,commercial,consideration,P0,city data hub,/tel-aviv-price-per-sqm,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
מחירי דירות בישראל,he,Buyer Seller Core,market prices,Israeli buyers,IL,commercial,consideration,P0,market-data hub,/market-prices,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
נדלן בישראל,he,Buyer Seller Core,broad discovery,all audiences,IL,commercial,consideration,P0,homepage hub,/real-estate-israel,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
קניית דירה מקבלן,he,Buyer Seller Core,new construction buying,buyers,IL,commercial,consideration,P0,guide,/buy-from-developer,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
תשואה על דירה להשקעה,he,Buyer Seller Core,yield,investors,IL,commercial,consideration,P0,calculator guide,/rental-yield-israel,lead or tool completion,"Answer the real decision question with transparent proof, not generic copy.","source methodology, last updated date, no legal/financial guarantees",NEEDS_VERIFICATION,Core SEO page should link to relevant tools and professional routes.
