pattern,observed_frequency,decision_for_nadlan,representative_benchmarks,important_caveat
"Large location-and-intent search at first fold","dominant","required","Yad2; Zillow; Rightmove; Idealista; NewKey","Keep first decision simple; reveal deep filters later"
"Real or approved dominant card image","nearly universal","required","Madlan; Zillow; Redfin; RealEstate-Israel; NewHomeSource","Generated media must be visibly illustrative"
"Price plus essential facts on card","nearly universal","required","Yad2; Zillow; Rightmove; Idealista; Bayut","Use approved price policy or request-current-price"
"Developer identity on project card","very common in new development","required","Madlan; Property Finder; Bayut; NewKey; NewHomeSource","Logo rights and identity verification required"
"Lifecycle/status badge","very common","required","Property Finder; Bayut; StreetEasy; NewKey; Digg","Badge must map to structured evidence"
"Handover/completion timing","common regionally","required when known","Property Finder; Bayut; Housing.com; Zoopla","Show source and last verification"
"Payment-plan badge","common in off-plan portals","conditional","Property Finder; Bayut; Isralo; MagicBricks","Commercial terms may change; do not hardcode"
"Image-count signal","common","required","StreetEasy; Idealista; NewKey; Realtor.com","Count only publishable approved media"
"List/map toggle","widespread","required","Madlan; OnMap; Zillow; Zoopla; Bayut","Do not let map dominate mobile or cause overflow"
"Draw/radius/travel-time search","mature but not universal","phase 2","Redfin; Zoopla; Idealista; ImmoScout24","Requires reliable map provider and performance budget"
"Save/favorite and instant alerts","widespread","required","Zillow; Redfin; Rightmove; StreetEasy; Idealista","Must work across devices and respect consent"
"Compare","common enough to be familiar","required","Madlan; portal category norms; existing NadLan endpoint","Compare like-for-like fields and show missing data"
"Photo/video/3D/floorplan grouping","widespread on mature details","required","Zillow; Redfin; StreetEasy; Idealista; Homes.com","Do not advertise 3D or plans unless the media exists"
"Exact freshness or last checked","rare but high-trust","differentiator","Redfin; StreetEasy; Idealista; Zoopla","Define stale degradation and re-verification owner"
"Media provenance/authenticity","rare","differentiator","Idealista; Redfin","Expose enough to build trust without internal jargon"
"Named human agent/contact","very common","required","Compass; Sotheby's; Realtor.com; Homes.com; Anglo-Saxon","Use verified contact and response ownership"
"Amenity/facility badge grammar","rare locally","required second layer","Nadlan.com; NewKey map POIs; Bayut","Limit card badges; show full amenity set on detail"
"Structured unit grid/ranges","strong specialist pattern","required for complete projects","StreetEasy; NewHomeSource; Housing.com; ImmoScout24","Availability must be current and source-labelled"
"Documents/permits/specifications","strong on serious details","required when publishable","StreetEasy; Zoopla; ImmoScout24","Rights, version and date matter"
"Neighborhood/data intelligence","widespread","required","Madlan; Zillow; Homes.com; Zoopla","Cite sources and distinguish estimates"
"Language/currency/unit controls","common on international portals","required for EN journey","Realtor International; JamesEdition; RealEstate-Israel; BuyWise","Do not imply transaction settlement currency"
"Remote tour and foreign-buyer guidance","emerging","required differentiator","Idealista; Homes AI; Zoopla Overseas; BuyWise","Operational service and caveats must match promise"
"Developer claim/complete listing flow","common commercially","required","NewKey Boost; Bayut Agent Portal; My Home in Israel","Do not publish incomplete demo cards"
"Listing health/completeness score","mature advertiser product","required internally; selective publicly","Bayut Profolio; NewKey tiers","Score quality, not payment tier"
"Paid/sponsored placement disclosure","common","required if monetized","StreetEasy; Zoopla; Realtor.com","Sponsored status must never masquerade as verification"
"Editorial/news freshness","common authority layer","supporting role","Nadlan Center; Realtor.com; Nadlan.com","Do not let articles replace inventory above the fold"
"Institutional history/scale proof","common brand signal","use only if true","Anglo-Saxon; RE/MAX; RealEstate-Israel","No invented years, counts or awards"
"Persistent mobile contact","common in regional/off-plan","required","OnMap; Property Finder; Bayut; Aqarmap","Avoid overlapping bubbles and preserve content space"
"AI search/assistant","emerging","phase 2 after inventory quality","Nadlan.com; Homes AI; Zillow features","AI cannot compensate for thin/stale records"
"Exact building-level 3D unit picking","not found as combined portal standard","NadLan differentiator after official data","NadLan prototype; specialist showroom systems","Requires segmented BIM/GLB/IFC or unit geometry"
