"item_id","area","decision","implementation_spec","why_this_way","acceptance_gate","evidence_or_source","status"
"TS-001","source_of_truth","Use the technical SEO matrix as the page-type contract before building or indexing routes.","Every route type gets index policy, canonical rule, robots rule, sitemap rule, hreflang rule, schema, breadcrumb, and noindex conditions.","Mass page creation without a route matrix creates duplicate, thin, or conflicting pages.","Every build PR maps new routes to a page_id row before release.","strategy/war-room/technical-seo-page-matrix.csv","ready_to_build"
"TS-002","canonicals","Every indexable page gets one self canonical; duplicate/filter/thin variants canonicalize or noindex according to the matrix.","Do not mix canonical signals with robots blocks that prevent Google from seeing the canonical.","Canonical rules prevent cannibalization and duplicate city/filter pages.","Crawl sample proves canonical URL matches page map.","Google canonical docs: https://developers.google.com/search/docs/crawling-indexing/consolidate-duplicate-urls","ready_to_build"
"TS-003","robots_noindex","Use robots meta noindex for page-level exclusion; do not use robots.txt as a noindex mechanism.","Thin filters, unverified listings, missing assets, legal-unreviewed pages, and country-abroad drafts get noindex until gates pass.","Google does not support noindex in robots.txt, and page-level control is safer.","Rendered head shows correct robots rule for sample index/noindex pages.","Google noindex docs: https://developers.google.com/search/docs/crawling-indexing/block-indexing","ready_to_build"
"TS-004","sitemaps","Only canonical, approved, indexable URLs belong in public XML and HTML sitemaps.","Exclude placeholders, noindex pages, unverified listings, internal admin/report pages, and country-abroad drafts.","Sitemaps should describe important canonical pages, not every generated URL.","Sitemap sample contains only indexable canonical URLs and passes Search Console after deploy.","Google sitemap docs: https://developers.google.com/search/docs/crawling-indexing/sitemaps/build-sitemap","ready_to_build"
"TS-005","structured_data","Use structured data only when it matches visible content and source truth.","Organization/WebSite on home; BreadcrumbList on navigable pages; ItemList on hubs; Product/Offer only for real visible offers; Professional/LocalBusiness only for verified professionals.","Structured data that invents facts can harm trust and rich result eligibility.","Rich Results Test screenshots or exports exist for each P0 template.","Google structured data intro: https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data","ready_to_build"
"TS-006","schema_conflicts","Prevent duplicate schema from theme, plugins, and custom code.","One schema owner per page type. Yoast/plugin schema must be audited before adding custom JSON-LD.","Conflicting Organization, Breadcrumb, Product, or Offer markup confuses search engines.","Rendered HTML scan shows one intended schema graph per template.","strategy/16-schema-plan.md","ready_to_build"
"TS-007","breadcrumbs","Breadcrumbs must be visible where useful and marked with BreadcrumbList when page hierarchy is stable.","Use the canonical page hierarchy, not the user’s filter path, as the structured breadcrumb.","Breadcrumbs clarify IA and reduce duplicate path ambiguity.","Breadcrumb Rich Results Test passes on representative page types.","Google breadcrumb docs: https://developers.google.com/search/docs/appearance/structured-data/breadcrumb","ready_to_build"
"TS-008","hreflang","Use hreflang only between true alternate language pages with matching intent.","Do not create hreflang for partial translations, automatic translations, or pages with different intent.","Bad hreflang can create canonical confusion in the English investor layer.","Crawl sample shows reciprocal language alternates and self canonicals.","Google international SEO docs: https://developers.google.com/search/docs/specialty/international/managing-multi-regional-sites","ready_to_build"
"TS-009","offer_markup","Product/Offer markup is allowed only when price, availability, currency, and source are visible and current.","No fake prices, no fake availability, no implied unit offer when inventory is missing.","Project and listing pages are commercial, but schema must not claim more than the page proves.","Offer markup sample passes validation and matches screenshot.","Google product structured data: https://developers.google.com/search/docs/appearance/structured-data/product","ready_to_build"
"TS-010","listing_filters","Most filter/sort URLs should be noindex unless they become approved canonical pages.","City and neighborhood hubs can index after supply gates; arbitrary filters remain noindex/canonicalized.","Filters can create thousands of duplicate or thin pages.","Crawl proves filter URLs do not enter sitemap and carry correct robots/canonical.","Google canonical and noindex docs","ready_to_build"
"TS-011","project_assets","Project and showroom pages cannot index until source and asset truth gates pass.","If GLB, floor plan, view, inventory, or price is missing, the page must show an honest state and avoid unsupported schema.","The showroom is high-value, but fake asset pages create legal and trust risk.","Screenshot shows asset truth and rendered structured data matches it.","strategy/war-room/showroom-rebuild-execution-packet.csv","ready_to_build"
"TS-012","international","English pages index only after source, legal, hreflang, and language quality gates pass.","/en pages are written for foreign buyers; country-abroad pages remain noindex until local source packs exist.","This protects Hebrew authority while building international demand.","/en sample pages pass language, canonical, hreflang, and screenshot gates.","strategy/war-room/international-investor-execution-packet.csv","ready_to_build"
"TS-013","search_console","Use Search Console evidence after deployment: sitemap status, URL Inspection, page indexing, enhancements, and canonical reports.","Repo screenshots are not enough for final technical SEO clearance.","Search Console is the source for Google’s indexed/crawled state.","Post-deploy evidence file links sample URL inspections and sitemap status.","Google Search Console: https://search.google.com/search-console/about","ready_to_spec"
"TS-014","release_gate","No new page family ships without technical SEO checklist and screenshots.","Checklist includes title, H1, canonical, robots, sitemap, schema, breadcrumbs, internal links, mobile, console errors, and visible language.","This prevents visual work from shipping with broken indexation.","Release packet includes crawl output, screenshots, and matrix row references.","strategy/war-room/sprint-ready-backlog.csv","ready_to_build"
