"item_id","area","decision","implementation_spec","why_this_way","acceptance_gate","evidence_or_source","status"
"AK-001","event_layer","Use a single data layer contract for all public and admin events.","All components push normalized event objects with event name, page type, language, canonical owner, and surface id.","One contract prevents double-tagging and inconsistent reports.","Every event in analytics-event-dictionary.csv has one trigger and one payload schema.","Google Tag Manager data layer: https://developers.google.com/tag-platform/tag-manager/datalayer","ready_to_build"
"AK-002","recommended_events","Use Google recommended events where they fit: search, view_search_results, view_item_list, select_item, view_item, generate_lead.","Map NadLan project/property behaviors into recommended events only when the meaning is accurate.","Recommended events improve standard reporting; misuse creates bad data.","Each recommended event has required parameters and a visible QA proof.","GA4 recommended events: https://developers.google.com/analytics/devguides/collection/ga4/reference/events","ready_to_build"
"AK-003","custom_events","Use custom events for NadLan-specific behavior: unit_select, showroom_open, map_poi_select, contractor_intake_submit, publish_gate_block.","Custom events keep product-specific actions measurable without forcing them into the wrong Google event.","NadLan has showroom and contractor behaviors that standard ecommerce does not describe well.","Custom events appear in DebugView with required parameters and no personal data.","strategy/war-room/analytics-event-dictionary.csv","ready_to_build"
"AK-004","parameters","Create approved event parameters and register reportable custom dimensions only for values the owner will use.","Core parameters: page_type, language, project_id, unit_id, city, asset_status, lead_type, source_surface, canonical_owner.","Too many dimensions create clutter; too few make the funnel impossible to read.","Each dashboard card lists the parameters it depends on.","GA4 event parameters: https://developers.google.com/analytics/devguides/collection/ga4/event-parameters","ready_to_build"
"AK-005","privacy","Never send names, phone numbers, emails, message body, exact private address, or raw sensitive financial values to analytics.","Use internal ids, bands, categories, and CRM record references instead of personal values.","The site can measure business value without leaking personal data.","Privacy scan confirms no personal form fields are pushed to analytics.","Google Consent Mode: https://developers.google.com/tag-platform/security/guides/consent","ready_to_build"
"AK-006","lead_attribution","Every lead gets source surface, page type, project id if present, unit id if present, language, lead type, and CRM id.","Analytics stores event context; CRM/form system stores the contact record.","This lets NadLan prove value to developers and professionals without mixing contact data into analytics.","Submitted lead has analytics event, CRM record, and thank-you screenshot.","strategy/13-monetization-plan.md","ready_to_build"
"AK-007","showroom_funnel","Measure showroom entry, unit selection, view layer, tour open, consultation request, lead start, and lead submit.","Each step must include asset status so fake or missing assets do not inflate contractor claims.","Contractors need proof of engagement, but proof must distinguish real assets from presentation states.","Dashboard shows showroom funnel by project, language, and asset status.","strategy/war-room/showroom-rebuild-execution-packet.csv","ready_to_build"
"AK-008","property_results_funnel","Measure search, result list view, filter, sort, card open, save, compare, contact click, and lead submit.","Keep route, filter, and sort events stable before adding advanced reports.","This proves whether the premium search and card system creates intent.","Dashboard shows result-to-detail and detail-to-lead rates.","strategy/war-room/listing-seo-execution-packet.csv","ready_to_build"
"AK-009","international_funnel","Measure language switch, English route opens, foreign-buyer guide engagement, concierge form start, and concierge submit.","Segment by language and country page once pages exist.","Foreign investor value is a strategic revenue line and must not be guessed.","Dashboard shows foreign-buyer traffic, engaged sessions, and leads by language.","strategy/war-room/page-architecture-map.csv","ready_to_build"
"AK-010","contractor_pipeline","Measure contractor intake start, package interest, asset bundle state, submission, follow-up status, and closed revenue outside analytics.","Analytics measures behavior; CRM tracks actual sales stages and revenue.","The owner needs a contractor sales cockpit, not vanity clicks.","Owner dashboard distinguishes inquiry, qualified lead, proposal, won, and lost.","strategy/war-room/admin-war-room-execution-packet.csv","ready_to_spec"
"AK-011","dashboard_cards","Build the owner dashboard from real sources only: GA4/GSC/CRM/admin registry and screenshot evidence.","Cards: traffic by page group, lead funnel, showroom funnel, property intent, international leads, professional leads, contractor pipeline, content gate health.","No invented values or screenshots of empty dashboards as proof.","Every card displays source, last updated date, and missing-data state.","strategy/18-analytics-kpi-dashboard.md","ready_to_spec"
"AK-012","debug_gate","Do not call tracking complete until Tag Assistant or DebugView evidence exists for each P0 event.","Capture event firing screenshots and payload notes for desktop and mobile routes.","Events that are not debugged will create false confidence.","P0 event screenshots are saved and linked from evidence register.","GA4 DebugView: https://support.google.com/analytics/answer/7201382","ready_to_build"
"AK-013","consent_gate","Implement consent-aware tagging before marketing or remarketing use.","Consent state must be initialized before tags that depend on consent.","Tracking must respect user choices and avoid legal shortcuts.","Consent mode is visible in debug evidence and reviewed before marketing pixels expand.","Google Consent Mode setup: https://developers.google.com/tag-platform/security/guides/consent","ready_to_build"
"AK-014","release_gate","Every visual release adds or updates analytics coverage notes.","If a page adds CTA, form, map, showroom, calculator, or contractor action, the event dictionary must be updated in the same build slice.","The event dictionary stays alive instead of becoming stale documentation.","PR or release note names added/changed events and screenshots.","strategy/war-room/sprint-ready-backlog.csv","ready_to_build"
