"gap_id","journey_stage","buyer_question","toha_current_answer","park_current_answer","current_state","severity","decision_risk","required_data_field","evidence_required","data_owner","refresh_sla","one_click_surface","missing_state_action","acceptance_test","generalizes_to"
"G001","identity","What is the legal marketing name of this building?","ToHa2 is shown; legal entity is not attached to the selected floor.","THE PARK is shown; legal entity is not attached to the selected floor.","MISSING","P1","Buyer cannot identify the exact asset in counsel or procurement records.","project.legal_name","Signed ownership or authorized leasing identity sheet.","Asset manager and leasing counsel","On legal or ownership change","Building facts drawer","Show marketing name plus legal name and evidence date; offer request if absent.","The selected-floor surface exposes legal name with source and date in one click.","commercial;premium;3D"
"G002","identity","Who owns the asset and in what shares?","Ownership is discussed in long-form content but not floor context; current selected surface has no owner record.","Amot and Allied are identified in owner sources; share and signing authority are not in floor context.","MISSING","P0","Buyer may negotiate with an unauthorized party.","project.ownership_parties","Current registry or statutory disclosure plus owner confirmation.","Asset manager and legal counsel","Quarterly and on ownership event","Building facts drawer","Label unknown and provide Request ownership pack.","Owner names shares source date and authorized contact are reachable from selected floor.","commercial;premium"
"G003","identity","Who is authorized to quote and sign a lease?","No authorized leasing principal is named; public lead route falls back to site admin.","No authorized leasing principal is named; public lead route falls back to site admin.","MISSING","P0","A lead can be accepted without reaching a party able to transact.","project.leasing_authority","Signed leasing mandate and authorized signatory list.","Owner leasing director","Monthly and on mandate change","Contact and RFP panel","Route to commercial desk while visibly requesting authority verification.","A test enquiry returns case ID recipient category SLA and verified mandate date.","commercial;leads"
"G004","identity","What is the exact legal address?","Street location is presented but legal address and entrance schedule are not tied to the floor.","Owner sources conflict between HaLehi 1 HaLehi 1-3 and HaLehi 2.","CONTRADICTED","P0","Navigation contracts and due diligence can refer to different premises.","project.legal_address","Municipal property record plus owner entrance schedule.","Owner and municipal engineering department","On municipal or entrance change","Location facts drawer","Display conflict badge and each sourced value; never silently select one.","All conflicting addresses and a verified legal address field are shown with provenance.","commercial;residential;premium"
"G005","identity","Which lobby entrance should visitors use?","Project pin exists; lobby-specific coordinate and hours are not exposed.","Project pin exists; lobby-specific coordinate and hours are not exposed.","MISSING","P1","First-time visitors may arrive at the wrong frontage.","entrances.visitor","Surveyed entrance coordinate photo label hours and accessibility.","Building manager","On access change; verify quarterly","Arrival mode on context map","Show Project pin only and Ask for visitor entrance until verified.","One tap opens routed walking directions to the named visitor lobby.","commercial;residential;map"
"G006","identity","Which entrance is step-free and accessible?","No verified accessible route is connected to the selected floor.","No verified accessible route is connected to the selected floor.","MISSING","P0","The buyer cannot validate equal access or host disabled visitors.","entrances.accessible","Accessibility survey and building manager confirmation.","Accessibility officer and building manager","Annual and after works","Accessibility drawer and map","State not verified and provide a precise accessibility-document request.","Accessible route entrance lift and destination floor are verified end to end.","commercial;residential;map"
"G007","identity","What are the block parcel and permit identifiers?","Not shown in selected-floor or one-click building facts.","Reviewed sources do not conclusively establish a single block parcel permit mapping.","MISSING","P0","Counsel cannot complete title planning or permit diligence.","project.cadastral_ids","Land registry extract and municipal building file identifiers.","Owner legal counsel","On filing change; verify annually","Legal and documents drawer","Keep blank; never infer from map coordinates; offer document request.","Identifiers copy cleanly and link to dated evidence.","commercial;premium"
"G008","identity","Is there a current Form 4 or lawful occupancy certificate for this floor?","Completion timing is discussed but floor-scoped lawful occupancy proof is not available.","Public sources conflict with an under-construction status and historic occupancy dates; floor-scoped proof is absent.","CONTRADICTED","P0","Move-in could be promised before lawful occupancy.","floor.occupancy_certificate","Full or partial Form 4 with scope and floor schedule.","Owner legal team and municipality","On certificate event","Availability and legal status card","Show Not verified and block firm move-in language.","A floor can be marked legally occupiable only when certificate scope includes its floor ID.","commercial;premium;3D"
"G009","identity","Who designed and delivered the building?","Architect and developer facts may exist in article content but are not connected to selection.","Owner materials identify Yaski Mor Sivan; contractor and current delivery responsibility need evidence.","SOURCED_ESTIMATE","P2","Buyer lacks accountability and technical-document contacts.","project.delivery_team","Owner-issued consultant and contractor appointment sheet.","Owner project director","Quarterly during construction","Building facts drawer","Show sourced roles and label unverified roles separately.","Each role includes organization source date and current or historical status.","commercial;premium"
"G010","identity","Is the selected asset an office floor a suite retail or residential unit?","Commercial floors render as a home with 0 rooms balcony and apartment language.","Commercial floors render as a home with 0 rooms balcony and apartment language.","INVENTED","P0","Buyer may distrust all selected-floor facts and tools.","asset.asset_type","Owner-approved asset inventory and engine schema.","Product data steward and leasing team","On inventory change","Selected asset header","Default to unknown asset type; never infer office from zero rooms.","Office selection contains no home apartment bedroom or balcony labels unless verified for that asset.","commercial;residential;premium;3D"
"G011","identity","What uses are legally permitted on this floor?","No floor-specific permitted-use answer is present.","No floor-specific permitted-use answer is present.","MISSING","P0","A startup may plan a use prohibited by permit or lease.","floor.permitted_uses","Permit use schedule and landlord leasing restrictions.","Owner counsel and architect","On permit or policy change","Legal and fit-out drawer","Show Not supplied and Request permitted-use confirmation.","The selected floor lists allowed conditional and prohibited uses with document date.","commercial;premium;3D"
