"id","domain","area","title","method","nonBlocking","codeReferences"
"R01-001","זהות, מיקום ואינטנט","","שם עברי ואנגלי אחד עקבי","data+DOM","true",""
"R01-002","זהות, מיקום ואינטנט","","שדה דב מופיע בכותרת, H1, פתיח, פירורים ומפה","manual-evidence","true",""
"R01-003","זהות, מיקום ואינטנט","","כתובת, נקודת מפה ואזור תוכן מצביעים לאותו מקום","manual-evidence","true",""
"R01-004","זהות, מיקום ואינטנט","","עמוד אחד הוא בעל הבית של ביטוי הפרויקט","data+DOM","true",""
"R01-005","זהות, מיקום ואינטנט","","אין כותרת פנימית שמתחרה בעמוד עיר או שכונה","data+DOM","true",""
"R02-001","SERP ו-HTML ציבורי","","title ייחודי ומתאים לאורך תצוגה","source","true",""
"R02-002","SERP ו-HTML ציבורי","","meta description מציג בחירת דירה, תוכנית, נוף ומחיר","source","true",""
"R02-003","SERP ו-HTML ציבורי","","favicon נטען ב-200 ומופיע כ-square crawlable asset","source","true",""
"R02-004","SERP ו-HTML ציבורי","","canonical עצמי יחיד","source","true",""
"R02-005","SERP ו-HTML ציבורי","","H1 יחיד","source","true",""
"R02-006","SERP ו-HTML ציבורי","","נתוני Open Graph מלאים","source","true",""
"R02-007","SERP ו-HTML ציבורי","","JSON-LD ללא סתירה לטקסט הנראה","source","true",""
"R02-008","SERP ו-HTML ציבורי","","View Source אינו מכיל Ashira, placeholders או טקסטי המתנה","source","true",""
"R03-001","פירורים, progress bar וניווט","","כל פירור לחיץ","manual-evidence","true",""
"R03-002","פירורים, progress bar וניווט","","מצב נוכחי מסומן","manual-evidence","true",""
"R03-003","פירורים, progress bar וניווט","","progress bar נמצא לפני אזור ההחלטה","manual-evidence","true",""
"R03-004","פירורים, progress bar וניווט","","כל שלב מעביר לעוגן קיים","interaction","true",""
"R03-005","פירורים, progress bar וניווט","","גלילה מעדכנת שלב פעיל","viewport+accessibility","true",""
"R03-006","פירורים, progress bar וניווט","","בחירה נשמרת במעבר בין שלבים","interaction","true",""
