"screen_id","surface","route_family","audience","primary_job","required_sections","components","asset_truth","seo_notes","mobile_acceptance","priority","evidence_source"
"DS-001","brand_system","sitewide","all","Recognize NadLan as a premium real-estate decision platform","logo mark, favicon, typography, color, buttons, forms, trust labels","header, nav, language switch, trust label, CTA, card, form field, mobile dock","brand mark is design direction, not final legal approval","public name must not target occupied brand terms without review","header wraps cleanly at 390px, no overlapping nav","P0","strategy/12-homepage-design-system.md; Zillow Showcase; JamesEdition"
"DS-002","homepage","/","buyers, sellers, contractors, investors","Route users quickly to projects, buy/rent, professionals, tools, and international paths","search band, project signal, city routes, tools, professionals, trust proof, international path","intent tabs, search input, route cards, project cards, proof strip, footer","counts must be verified or hidden","one H1, Organization/WebSite schema, internal links to money hubs","search first, cards 1 column, no hero-only waste","P0","current live screenshots; strategy/war-room/ux-build-spec.csv"
"DS-003","listing_search","/buy, /rent, /buy/{city}, /rent/{city}","buyers and renters","Compare inventory fast without fake stock","filters, map/list, result count, listing card grid, saved search, empty state","filter sheet, result card, map state, compare/save, contact button","image/source/freshness required per listing","canonical city pages, noindex thin/filter URLs, ItemList where valid","filters in bottom sheet, selected chips visible, map behind tab","P0","strategy/10-listings-ux-spec.md; Zillow 3D Home; Homes.com Matterport"
"DS-004","listing_detail","/listings/{listing_id}","buyer, renter, investor","Inspect one property and contact with confidence","media, facts, map, pricing, freshness, source, lead dock, related pages","media rail, fact table, source badge, sticky contact, WhatsApp, compare","no image or price without source label","Offer/Residence schema only when verified; breadcrumb and canonical required","contact dock does not cover content","P1","strategy/war-room/ux-build-spec.csv"
"DS-005","projects_catalog","/projects, /projects/{city}","contractors, buyers, foreign investors","Find credible new projects and understand asset completeness","city filters, project cards, developer, status, asset completeness, map/list","project card, completeness meter, source label, city filter, investor chips","official/concept/missing shown per project","Project hub and city hub canonical ownership","project card media does not crop critical info","P0","strategy/11-project-showroom-3d-spec.md; Zillow Showcase"
"DS-006","project_page","/projects/{project_slug}","buyers, contractors, investors","Understand the project before entering the showroom","project facts, developer, location, source, availability rule, showroom CTA, assets","fact rail, source panel, asset-state badges, lead CTA, related professionals","official site/source URL required; missing fields visible","Project schema only for verified facts; breadcrumbs required","facts before showroom, CTA reachable but not covering","P0","fresh Dimri screenshots; strategy/11-project-showroom-3d-spec.md"
"DS-007","showroom_3d","/projects/{project_slug}/showroom","contractors, buyers, foreign investors","Select apartment, see view/context/tour, and submit a qualified lead","model/facade, apartment selector, unit card, map/view/tour states, lead path","asset truth panel, selector, unit card, tour slot, map slot, consultant route","GLB/facade/floor plan/tour each classified as official, concept, missing, or broken","not separate indexable page unless content is unique and crawlable","model top, selected card below, no fixed overlay blocking taps","P0","Matterport; Zillow SkyTour; Homes.com Matterport; local showroom spec"
"DS-008","professionals","/professionals, /professionals/{category}, /professionals/{category}/{city}","buyers, sellers, contractors, investors","Find verified help without confusing sponsored placement","category filters, city filters, professional cards, verification policy, lead route","directory card, registry badge, disclosure, contact CTA, empty state","license/registry/source required before strong claims","LocalBusiness/Person only when verified; duplicate H1 must be fixed","filter drawer, 1 column cards, no forced wide layout","P0","fresh professionals screenshots; strategy/war-room/current-site-evidence-2026-06-23.csv"
"DS-009","tools","/tools, calculators, market pages","buyers, sellers, investors","Use calculators and market data without mistaking them for legal or appraisal advice","tool selector, inputs, assumptions, result range, source date, professional route","stepper form, assumption panel, result card, source badge, lead CTA","official formula/source date required","SoftwareApplication/FAQ only when visible and verified","large numeric inputs, assumptions visible","P1","strategy/war-room/keyword-to-page-owner.csv"
"DS-010","international","/en and future languages","foreign buyers and Israeli investors abroad","Explain remote buying, projects, tax, mortgage, and concierge paths in trustworthy English","EN hub, city/project paths, tax/mortgage/legal guides, concierge, language switch","language switch, country concern cards, concierge CTA, source panels","legal/tax/finance review required before strong claims","hreflang/canonical required; no shallow auto-translation","LTR pages feel native, not mirrored Hebrew","P1","strategy/war-room/keyword-to-page-owner.csv; JamesEdition"
"DS-011","contractor_intake","/contractors/intake or admin","developers and project marketers","Upload official project assets and understand package readiness","project identity, media upload, unit data, source URLs, package tier, approval status","asset checklist, upload rows, readiness score, pricing tier, reviewer notes","every uploaded asset gets official/concept/missing/rejected status","private/noindex until approved","usable on tablet, admin desktop primary","P1","strategy/war-room/sprint-ready-backlog.csv"
"DS-012","admin_war_room","wp-admin","owner, editor, agents","See keyword ownership, reports, screenshots, build status, and publish gates","keyword registry, evidence register, screenshots, backlog, decisions, publish gates","status board, registry table, screenshot gallery, owner decision log","private admin only, never public","noindex/admin-only, capability guarded","desktop primary, mobile readable for review","P1","strategy/24-source-of-truth-cannibalization-system.md"
