asset_id,asset_class,content_type,working_h1,path,parent,canonical,status,word_budget,owned_need,collision_guard,publication_phase,draft_word_count_wc,file_name
UP-000,Flagship guide,מדריך דגל,איך בונים פרויקט מגורי אולטרה-פריים: מהקרקע ועד שנת הפעילות ה-15,/guides/ultra-prime-construction/,/guides/,Self,Draft,6500-8500 body; sources excluded,Informational master journey,"Owns hidden anatomy and lifecycle, not projects for sale",Launch,7946,05_flagship_draft.md
UP-101,Deep dive,כתבת עומק,מרתפים עמוקים ומי תהום בפרויקט יוקרה: מה קורה מתחת ללובי,/guides/groundwater-deep-basements/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Ground investigation, excavation, waterproofing and replacement routes",Does not replace site-specific geotechnical advice,Launch,1831,06_01_groundwater_deep_basements.md
UP-102,Deep dive,כתבת עומק,רוח ותנועת מגדלים: איך בניין גבוה נשאר נוח למגורים,/guides/tall-building-wind-comfort/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Wind comfort, acceleration, damping and floor vibration",Avoids generic tall-building project listings,Stage 2,1820,06_02_tall_building_wind_comfort.md
UP-103,Deep dive,כתבת עומק,מעטפת וזכוכית במגדל מגורים: מה בודקים מעבר לנוף,/guides/residential-tower-envelope-glass/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Façade performance, testing, cleaning and replacement",Does not target project or city commercial terms,Launch,1834,06_03_residential_tower_envelope_glass.md
UP-104,Deep dive,כתבת עומק,"המלון הנסתר במגדל מגורים: דיירים, צוות, משלוחים ואשפה",/guides/residential-service-flows/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Resident, staff, delivery, waste and maintenance flows",Distinct from concierge marketing page,Stage 2,1837,06_04_residential_service_flows.md
UP-105,Deep dive,כתבת עומק,"חשמל, מים ואוויר בזמן תקלה: עמידות תפעולית בבניין יוקרה",/guides/building-resilience-power-water-air/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Critical loads, backup, pressure, air and leak scenarios",Distinct from general smart-home article,Stage 2,1857,06_05_building_resilience_power_water_air.md
UP-106,Deep dive,כתבת עומק,"מעלית פרטית, מעלית שירות ומעלית רכב: מה באמת קובע את החוויה",/guides/private-service-car-lifts/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Lift traffic, privacy, service, rescue and lifecycle",Does not target lift vendor brands,Stage 2,1839,06_06_private_service_car_lifts.md
UP-107,Deep dive,כתבת עומק,אקוסטיקה בדירה חדשה: איך רעש עוקף קירות ונכנס הביתה,/guides/new-apartment-acoustics/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Airborne, impact, façade and mechanical noise",Distinct buyer problem; links to qualified professionals,Stage 2,1834,06_07_new_apartment_acoustics.md
UP-108,Deep dive,כתבת עומק,"בריכה וספא בבניין יוקרה: ההנדסה, התפעול והעלות שמאחורי המים",/guides/luxury-residential-pool-spa/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Water treatment, ventilation, humidity, corrosion, staffing and renewal",Distinct from project facilities lists,Launch,1817,06_08_luxury_residential_pool_spa.md
UP-109,Deep dive,כתבת עומק,"דרכון חומרים בדירת יוקרה: אבן, עץ, מתכת וזכוכית בלי ניחושים",/guides/material-passport-luxury-home/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Stone, timber, metal, glass, batches, cleaning, warranty and spares",Distinct from design-trends article,Stage 2,1839,06_09_material_passport_luxury_home.md
UP-110,Deep dive,כתבת עומק,בית חכם לשנת 2035: איך בונים מערכת שלא ננעלת לספק אחד,/guides/smart-home-2035/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Open protocols, local control, cybersecurity, exports and upgrades",Avoids brand comparison unless verified,Stage 3,1823,06_10_smart_home_2035.md
UP-111,Deep dive,כתבת עומק,מוק-אפים ובקרת איכות בפרויקט יוקרה: איך מונעים ייצור סדרתי של טעות,/guides/mockups-quality-control/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Mock-ups, factory and site testing, batch control and repeatability",Distinct from apartment showroom or sales model apartment,Stage 3,1825,06_11_mockups_quality_control.md
UP-112,Deep dive,כתבת עומק,Commissioning בבניין מגורים ושנת ה-15: איך מוסרים מערכת שעובדת,/guides/residential-commissioning-year-15/,/guides/ultra-prime-construction/,Self,Draft,1800-3200,"Testing, handover, documents, seasonal tuning, renewal and reserves",Distinct from legal defect guide,Launch,1816,06_12_residential_commissioning_year_15.md
