"field_id","admin_group","field_label","data_key","required_for_state","field_type","validation_rule","public_use_rule","owner_gate","priority"
"AF-001","identity","Project slug","project_slug","PS-001","slug","lowercase kebab-case, unique","Not shown directly to public","Required before any page preview","P0"
"AF-002","identity","Project title","title","PS-001","text","non-empty","Public project name","Required before visual stage","P0"
"AF-003","identity","Developer or source note","developer_source_note","PS-001","text/url","source name or reason for missing source","Visible as source/verified-by wording, not internal owner text","Must exist before public project page","P0"
"AF-004","governance","Public use policy","public_use_policy","PS-002","select/text","official, concept, prototype, missing, mixed","Controls caution labels and whether assets may be public","Must be reviewed before indexing","P0"
"AF-005","asset","Primary asset state","asset_state","PS-002","select","official_model, official_facade, concept_visual, missing_asset, asset_error","Determines first visual state","Exactly one state must be selected","P0"
"AF-006","asset","3D model URL","project_model_glb","PS-003","url","http(s) URL or blank","Never expose file format to buyer","Required only for official model state","P0"
"AF-007","asset","Model poster image","project_model_poster","PS-003","url","http(s) URL or blank","Shown as loading/fallback poster if approved","Required for model state","P0"
"AF-008","asset","Facade images","project_3d_facade_images","PS-004; PS-005","repeater","each image has src, label, source, concept/approved flags","Label must distinguish official from illustrative","Required for facade or concept visual state","P0"
"AF-009","asset","Facade viewbox","project_3d_viewbox","PS-004; PS-005","text","valid SVG viewbox pattern","Not shown publicly","Required when polygons or floor bands exist","P1"
"AF-010","unit","Units payload","project_3d_units","PS-008","repeater/json","at least one valid unit for unit selector","Public only after source/status rules pass","Required for unit selector","P0"
"AF-011","unit","Unit polygon or hotspot","unit.points or unit.hotspot_position","PS-003; PS-004","text","valid polygon points or three-number position","Not shown publicly","Required for visual unit selection","P0"
"AF-012","unit","Unit source note","unit.source_note","PS-009","text","non-empty","Visible as source/caution note","Required before selected unit can show","P0"
"AF-013","unit","Unit status","unit.status","PS-009","select","available, reserved, sold, in_review, demo, unknown","Show buyer-safe status; do not imply availability without approval","Required before lead path","P0"
"AF-014","unit","Price estimate and note","unit.price_estimate; unit.price_note","PS-009","number/text","estimate may be blank; note required if shown","Non-binding only, no offer language","Required if any price appears","P0"
"AF-015","plan","Floor plan URL","unit.plan","PS-010","url","http(s) URL or blank","Show only with official/illustrative status","Required for plan tab","P1"
"AF-016","environment","Environment/context JSON","project_3d_environment_json","PS-012","json","source_policy and source notes for items","Planned/live labels required","Required for surroundings tab","P1"
"AF-017","map","Precise coordinates status","map_coordinate_status","PS-012; PS-013","select","verified, approximate, missing, not_for_public","Approximate or missing cannot become clickable map pin","Required before map launch","P0"
"AF-018","tour","Interior or tour URL","unit.tour_url; unit.interior_url; project_3d_tour_url","PS-014","url","http(s) URL or blank","Open only if approved source exists","Required for tour tab","P1"
"AF-019","lead","Lead routing target","lead_destination","PS-015","select/url","CRM, email, WhatsApp, phone, or disabled","Must include consent and project/unit context","Required before public CTA","P0"
"AF-020","qa","Screenshot gate status","qa_screenshot_status","all states","select","not_started, captured, reviewed, failed","Not public","Every state needs desktop and mobile proof before done","P0"
