title,url,h1,type,public_status,intent,topic,collision,role,canonical_meta,recommended_link,verification
"נדלן - דירות למכירה, פרויקטים חדשים ומחירי דירות בישראל",https://nad-lan.co.il/,"מוצאים דירה, בודקים מחיר, מכירים את הסביבה - לפני שחותמים",דף בית,נצפה ציבורית,ניווטית ומסחרית רחבה,"פרויקטים, דירות, מחירים, מדריכים, כלים ואנשי מקצוע",נמוך,שער ראשי. יכול לקשר הקשרית למדריך תחת המדריכים החשובים.,לא אומת מתוך הקוד,עוגן: איך בודקים איכות אמיתית של פרויקט יוקרה,גבוהה
פרויקטים והתחדשות עירונית,https://nad-lan.co.il/projects/,פרויקטים והתחדשות עירונית,ארכיון פרויקטים,נצפה באינדקס ציבורי,מסחרית וניווטית,"חיפוש פרויקטים לפי עיר, יזם וסוג",גבוה מאוד על פרויקטים חדשים,בעל הכוונה המסחרית. המדריך החדש מפנה אליו ואינו מתחרה בו.,לא אומת,"קישור אחד מהמדריך, וקישור חזרה בולט מאזור מדריכים בארכיון",גבוהה
פרויקטים בתל אביב יפו,לא חולץ. מופיע בדף הבית,לא אומת,ארכיון עירוני,קישור ציבורי נצפה,מסחרית וגאוגרפית,פרויקטים בעיר,גבוה מאוד,בעל הביטוי פרויקטים חדשים בתל אביב.,בדיקת taxonomy ו-canonical נדרשת,רק בפרקי מיקום ודוגמאות מקומיות,בינונית
פרויקטים בתל אביב-יפו,לא חולץ. מופיע בדף הבית כישות נפרדת,לא אומת,ארכיון עירוני או taxonomy כפולה,קישור ציבורי נצפה,מסחרית וגאוגרפית,פרויקטים בעיר,קריטי לבדיקה,"אין להוסיף קישורים לפני הכרעה אם זה כפל, נרמול או שתי ישויות.",חסום ללא crawl או WordPress,אין עד אימות,בינונית
פרויקטים חדשים והתחדשות עירונית בחיפה,https://nad-lan.co.il/city/חיפה/projects/,פרויקטים חדשים והתחדשות עירונית בחיפה,ארכיון עירוני,נצפה ציבורית,מסחרית וגאוגרפית,פרויקטים בחיפה,נמוך,"דוגמה אפשרית לטופוגרפיה, חוף ורוח.",לא אומת,רק אם מובאת דוגמה מקומית רלוונטית,גבוהה
פרויקטים חדשים והתחדשות עירונית בהרצליה,https://nad-lan.co.il/city/הרצליה/projects/,פרויקטים חדשים והתחדשות עירונית בהרצליה,ארכיון עירוני,נצפה ציבורית,מסחרית וגאוגרפית,פרויקטים בהרצליה,נמוך עד בינוני,"דוגמה למרינה, ים, קורוזיה ומעטפת.",לא אומת,פרק מיקום ומעטפת בסביבה ימית,גבוהה
Rainbow Tel Aviv - ריינבו תל אביב,https://nad-lan.co.il/projects/rainbow-tel-aviv/,Rainbow Tel Aviv - ריינבו תל אביב,עמוד פרויקט,נצפה ציבורית,"מסחרית, אינפורמטיבית וניווטית לפרויקט","מיקום, דירות, מתקנים, הדמיה ובדיקות",בינוני עד גבוה על מתקנים ושאלות לרוכש,שומר את נתוני הפרויקט. המדריך שומר את שיטת בדיקת הפסיליטיז.,לא אומת,"מהפרויקט לעוגן הפסיליטיז, ומהמדריך לפרויקט כדוגמה מקומית",גבוהה
DIMRI YAMA שדה דב - י.ח דמרי,https://nad-lan.co.il/projects/dimri-yama-sde-dov/,DIMRI YAMA שדה דב - י.ח דמרי,עמוד פרויקט,נצפה ציבורית,מסחרית ובדיקת עסקה,"דירות, מיקום, בריכות, ספא, כושר ודמי ניהול",גבוה בפרקי פסיליטיז אם המדריך יכתוב על הפרויקט עצמו,נתוני הפרויקט נשארים כאן. המדריך מסביר את המערכות שמאחורי הרשימה.,לא אומת,"קישור דו-כיווני לפרקי בריכה, ספא ודמי ניהול",גבוהה
EINSTEIN TOWER רמת אביב,https://nad-lan.co.il/projects/einstein-tower/,EINSTEIN TOWER רמת אביב,עמוד פרויקט,נצפה ציבורית,מסחרית ואינפורמטיבית,"מתחם מעורב שימושים, מגדלים, מסחר, תחבורה ומודל רכישה",בינוני,"מקרה מקומי למסלולי שירות, עירוב שימושים ולוגיסטיקה.",לא אומת,פרק המלון הנסתר ומסלולי השירות,גבוהה
"מתחם המרכז שדה דב - פרויקטים, מחירים ומדריך מלא",https://nad-lan.co.il/sde-dov/merkaz/,"מתחם המרכז שדה דב - פרויקטים, מחירים ומדריך מלא",מדריך רובע ומתחם,נצפה ציבורית,מסחרית ואינפורמטיבית גאוגרפית,"תכנון, מחירים, פרויקטים, מסחר, מלונאות ותחבורה",גבוה מאוד על שדה דב,בעל הכוונה הגאוגרפית. המדריך משתמש בו רק כדוגמת מיקום ותכנון.,לא אומת,קישור יחיד בפרק המיקום,גבוהה
קניית דירה: המדריך המלא,לא חולץ. קישור ציבורי נצפה בדף הבית,לא אומת,מדריך רוכש,קישור ציבורי נצפה,אינפורמטיבית,"תהליך רכישה, מסמכים, חוזה ובדיקות",בינוני עד גבוה,שומר את תהליך הקנייה הכללי. המדריך החדש שומר את אנטומיית האיכות.,לא אומת,"קישור הדדי בפרקי מפרט, מסירה ובדק",בינונית
מילון מונחים,לא חולץ. קישור ציבורי נצפה בדף הבית,לא אומת,מילון,קישור ציבורי נצפה,אינפורמטיבית וניווטית,מונח קצר אחד בכל ערך,נמוך אם נשמרת הפרדה בין מושג לתהליך,יעד להסבר מורחב של מונחים. ההסבר הראשון נשאר בגוף המדריך.,לא אומת,רק במופע הראשון שבו הערך מוסיף ידע,בינונית
אנשי מקצוע,לא חולץ. קישור ציבורי נצפה בדף הבית,לא אומת,אינדקס,קישור ציבורי נצפה,מסחרית וניווטית,"קבלנים, שמאים, בדק בית, אדריכלים, מהנדסים ועוד",נמוך,השלב הבא אחרי הסבר מי מוסמך לבדוק מה.,לא אומת,קישורים נקודתיים בלבד לפי מקצוע,בינונית
קטלוג תלת ממד,לא חולץ. קישור ציבורי נצפה בדף הבית,לא אומת,כלי הדגמה ובחירת דירה,קישור ציבורי נצפה,השוואתית ומסחרית,"בחירת בניין, קומה, כיוון ונוף",נמוך,"המחשה בפרקי אור, כיוון, נוף ותכנון דירה.",לא אומת,פרק אדריכלות הדירה,בינונית
"עיצוב פנים 2026: הצבעים, החומרים והטרנדים שנכנסים לדירות החדשות",לא חולץ. קישור ציבורי נצפה בדף הבית,לא אומת,כתבת מגזין,נצפה בכותרת ציבורית,השראתית ואינפורמטיבית,"צבעים, חומרים וטרנדים",בינוני בפרק גמרים,"שומר את כוונת הטרנדים. המדריך שומר ביצועים, מקור, תחזוקה וחלפים.",לא אומת,עוגן: מגמות עיצוב בדירות חדשות,בינונית
דמי ניהול נכס מסחרי,https://nad-lan.co.il/commercial-real-estate/commercial-property-management-fees/,"דמי ניהול נכס מסחרי: מה כולל, מחיר למ""ר וחוזה לפני חתימה",מדריך מסחרי,נצפה ציבורית,מסחרית ואינפורמטיבית,דמי ניהול בנכס מסחרי,נמוך אם כתבת המגורים תוגדר היטב,אין לקשר כתחליף לדמי ניהול במגדל מגורים.,לא אומת,"אין, אלא אם נעשית השוואה מפורשת בין מגורים למסחר",גבוהה
