slug,page_title,source_title,source_type,source_url,scope_note,access_date
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,עיריית תל אביב-יפו: קירוי איילון,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/Ayalon.aspx,"תכנית האב, החלוקה למקטעים והעקרונות",2026-08-18
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,עיריית תל אביב-יפו: תכניות פיתוח תשתיות לשנת 2026,מעקב ביצוע,https://www.tel-aviv.gov.il/Residents/Development/Pages/Infrastructure.aspx,לבדיקת עבודות ותשתיות עדכניות,2026-08-18
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"בדיקת מיקום, שכבות ותכניות",2026-08-18
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,אינדקס פרויקטים חדשים,אינדקס עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/NewNeighborhoods.aspx,עמוד המקור שממנו נבנה המיפוי,2026-08-18
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,עיריית תל אביב-יפו: רובע שדה דב,מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDov.aspx,"גבולות, היקפים, עקרונות ופיתוח",2026-08-18
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,עיריית תל אביב-יפו: מרכז רובע שדה דב יוצא לדרך,עדכון תכנוני,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=336&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,עדכון על תכנית מרכז הרובע,2026-08-18
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,עיריית תל אביב-יפו: צפון רובע שדה דב יוצא לדרך,עדכון תכנוני,https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=345&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,עדכון על תכנית צפון הרובע,2026-08-18
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,מפות GIS עירוניות,מפה רשמית,https://gisn.tel-aviv.gov.il/,"איתור תכניות, מגרשים ושכבות",2026-08-18
sde-dov-participation,שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון,"עיריית תל אביב-יפו: שדה דב, שיתוף ועדכון הציבור",מקור עירוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDovPublicParticipation.aspx,"מפגשים, נושאים ועדכונים",2026-08-18
sde-dov-participation,שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון,עיריית תל אביב-יפו: רובע שדה דב,רקע תכנוני,https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDov.aspx,היקף ותכניות הרובע,2026-08-18
sde-dov-participation,שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון,מערכת מידע תכנוני מינהל התכנון,מערכת סטטוטורית,https://mavat.iplan.gov.il/,"בדיקת הפקדה, תוקף, מסמכים והתנגדויות",2026-08-18
