keyword,variants,language,category,subcategory,geo,intent,funnel_stage,serp_type,serp_features,dominant_media,volume,kd,cpc,traffic_value,top_competitors,target_url,source_owner,page_type,ux_module,data_module,schema,internal_links_in,internal_links_out,cannibalization_risk,monetization,priority,build_action,content_action,status
"נדלן","נדל""ן|נדלן ישראל",HE,core,national,Israel,navigate/research,top,portal,"ads,organic,sitelinks",search,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,Madlan,Nadlan.com","/","homepage",homepage,"global search,map entry","sitewide index","WebSite,Organization","all","buy,rent,projects,tools","HIGH","all funnels",P0,"homepage product shell","positioning copy",NEEDS_VERIFICATION
"דירות למכירה","דירה למכירה|דירות יד שניה",HE,buy,listings,Israel,transactional,mid,listing,"ads,map pack,organic",map-list,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,Madlan,Homeless","/buy/","buy hub",archive,"map/list filters","listing inventory","ItemList,SearchAction","home","city buy pages","HIGH","buyer leads",P0,"listing shell","hub intro",NEEDS_VERIFICATION
"דירות להשכרה","דירה להשכרה|השכרת דירה",HE,rent,listings,Israel,transactional,mid,listing,"ads,map pack,organic",map-list,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,Madlan,Homeless","/rent/","rent hub",archive,"map/list filters","rental inventory","ItemList,SearchAction","home","city rent pages","HIGH","renter leads",P1,"rental listing shell","hub intro",NEEDS_VERIFICATION
"פרויקטים חדשים","דירות חדשות|פרויקטים מקבלן",HE,projects,new construction,Israel,commercial,mid,project directory,"ads,organic,images",project-cards,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad1,Madlan,developer sites","/projects/","projects hub",archive,"project filters,showroom badges","project inventory","ItemList,Product","home","city projects,project pages","HIGH","developer leads",P0,"projects archive","buyer guide",NEEDS_VERIFICATION
"דירה מקבלן","דירות מקבלן|קניית דירה מקבלן",HE,projects,new construction,Israel,transactional,mid,guide+projects,"ads,organic,PAA",projects,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad1,Madlan,law firms","/projects/","projects hub",archive,"project cards,availability CTA","project facts","ItemList,FAQContentOnly","home","guide,new projects","MEDIUM","developer leads",P0,"projects CTA","guide section",NEEDS_VERIFICATION
"דירות חדשות","דירות חדשות למכירה|דירות חדשות מקבלן",HE,projects,new construction,Israel,transactional,mid,project directory,"ads,organic,images",project-cards,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad1,Madlan","/projects/","projects hub",archive,"project filters","project inventory","ItemList","home","city projects","HIGH","developer leads",P0,"archive filters","intro copy",NEEDS_VERIFICATION
"דירות למכירה תל אביב","דירה למכירה תל אביב|דירות בתל אביב",HE,buy,city,Tel Aviv,transactional,mid,listing,"ads,map pack",map-list,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,Madlan","/buy/tel-aviv/","buy tel aviv",city archive,"map/list city filters","listing supply","ItemList,Place","buy","neighborhoods,city intel","HIGH","buyer leads",P0,"city buy shell","city intro",NEEDS_VERIFICATION
"דירות להשכרה תל אביב","השכרת דירה תל אביב|דירה להשכרה תל אביב",HE,rent,city,Tel Aviv,transactional,mid,listing,"ads,map pack",map-list,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Yad2,Madlan","/rent/tel-aviv/","rent tel aviv",city archive,"map/list city filters","rental supply","ItemList,Place","rent","neighborhoods,city intel","HIGH","renter leads",P1,"city rent shell","city intro",NEEDS_VERIFICATION
"פרויקטים חדשים תל אביב","דירות חדשות תל אביב|פרויקטים בתל אביב",HE,projects,city,Tel Aviv,commercial,mid,project archive,"ads,images",cards-map,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"Madlan,Yad1,developer sites","/projects/tel-aviv/","projects tel aviv",city project archive,"project cards,map,showroom labels","project inventory","ItemList,Place","projects","sde dov,project pages","HIGH","developer leads",P0,"city projects archive","city project intro",NEEDS_VERIFICATION
"פרויקטים בשדה דב","שדה דב פרויקטים|דירות שדה דב",HE,projects,neighborhood,Sde Dov,commercial,mid,pillar+projects,"organic,images",projects+map,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,NEEDS_VERIFICATION,"developer sites,Madlan","/projects/tel-aviv/sde-dov/","sde dov projects",neighborhood hub,"project rail,map,comparison","project inventory","CollectionPage,ItemList","tel aviv projects","dimri,rainbow,city","MEDIUM","developer leads",P0,"Sde Dov hub","deep pillar",NEEDS_VERIFICATION
