"tower","record_type","label","latitude","longitude","origin_latitude","origin_longitude","destination","destination_latitude","destination_longitude","travel_mode","observed_distance","observed_duration","checked_at","url","publisher","notes"
"The Park","coordinate","GovMap address point: Lehi 2 Bnei Brak","32.10367090107063","34.82963957588966","","","","","","","","","2026-08-04","https://www.govmap.gov.il/?c=34.82963957588966,32.10367090107063&z=12&q=%D7%9C%D7%97%22%D7%99%202%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%A7","GovMap","Official address point converted from GovMap Web Mercator to WGS84; not a cadastral survey or surveyed tower centroid."
"The Park","coordinate","OpenStreetMap tower footprint center","32.1044001","34.8295595","","","","","","","","","2026-08-04","https://nominatim.openstreetmap.org/search?format=jsonv2&limit=10&extratags=1&namedetails=1&q=%D7%9E%D7%92%D7%93%D7%9C%20%D7%94%D7%A4%D7%90%D7%A8%D7%A7%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%A7","OpenStreetMap contributors","Community-mapped footprint center; ODbL; secondary and not cadastral."
"The Park","developer address","Allied published address","","","","","Lehi 1 Bnei Brak","","","","","","2026-08-04","https://allied-re.co.il/project/the-park/","Allied Real Estate","No trustworthy project coordinate was published on the page; the 3D viewer camera coordinates are not a tower location."
"The Park","developer address","Amot published address","","","","","Lehi 1-3 Bnei Brak","","","","","","2026-08-04","https://www.amot.co.il/assets-list/offices/amot-halehi/","Amot Investments","Address conflicts with Allied Lehi 1 and GovMap/user-supplied Lehi 2."
"The Park","route","Walk to Bnei Brak Ramat HaHayal railway station","","","32.10367090107063","34.82963957588966","Bnei Brak Ramat HaHayal railway station","32.1028916","34.8305499","walking","180 m","2 min","2026-08-04","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=32.1028916%2C34.8305499&travelmode=walking","Google Maps","Live snapshot; duration can change."
"The Park","route","Walk to Azrieli Ayalon Mall","","","32.10367090107063","34.82963957588966","Azrieli Ayalon Mall","32.1005038","34.8266776","walking","750 m","10 min","2026-08-04","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=32.1005038%2C34.8266776&travelmode=walking","Google Maps","Live snapshot; duration can change."
"The Park","route","Drive to Atidim Park","","","32.10367090107063","34.82963957588966","Atidim Park, Dvora HaNevia 121 Tel Aviv","","","driving","2.7 km","8 min","2026-08-04","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=%D7%A4%D7%90%D7%A8%D7%A7%20%D7%A2%D7%AA%D7%99%D7%93%D7%99%D7%9D%2C%20%D7%93%D7%91%D7%95%D7%A8%D7%94%20%D7%94%D7%A0%D7%91%D7%99%D7%90%D7%94%20121%2C%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91&travelmode=driving","Google Maps","Traffic-dependent live snapshot."
"The Park","route","Drive to Ben Gurion Airport","","","32.10367090107063","34.82963957588966","Ben Gurion Airport","","","driving","27.3 km","37 min","2026-08-04 20:51 Asia/Jerusalem","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=Ben%20Gurion%20Airport&travelmode=driving","Google Maps","Traffic-dependent live snapshot; fastest route at check time used Route 4 and Route 1."
"The Park","route","Public transit to Ben Gurion Airport","","","32.10367090107063","34.82963957588966","Ben Gurion Airport","","","transit","","40-61 min","2026-08-04 20:51 Asia/Jerusalem","https://www.google.com/maps/dir/?api=1&origin=32.10367090107063%2C34.82963957588966&destination=Ben%20Gurion%20Airport&travelmode=transit","Google Maps","Departure-dependent snapshot; one itinerary began with a 4-minute walk to Bnei Brak station and used two trains."
"ToHa2","coordinate","GovMap address point: Totzeret HaAretz 2 Tel Aviv","32.07347925682061","34.79530687791587","","","","","","","","","2026-08-04","https://www.govmap.gov.il/?c=34.79530687791587,32.07347925682061&z=12&q=%D7%AA%D7%95%D7%A6%D7%A8%D7%AA%20%D7%94%D7%90%D7%A8%D7%A5%202%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91","GovMap","Official address point converted from GovMap Web Mercator to WGS84; not a cadastral survey."
