"page","viewport","screenshot","horizontal_overflow","visible_leak_count","h1_count","console_error_count","first_console_error","verdict","note"
"home","desktop-1440","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/home-desktop-1440.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"home","tablet-768","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/home-tablet-768.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"home","mobile-390","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/home-mobile-390.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"join-pro","desktop-1440","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/join-pro-desktop-1440.png","0","5","1","0","","needs_fix","Commerce/add-to-cart signals remain visible to the scanner."
"join-pro","tablet-768","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/join-pro-tablet-768.png","0","5","1","0","","needs_fix","Commerce/add-to-cart signals remain visible to the scanner."
"join-pro","mobile-390","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/join-pro-mobile-390.png","0","5","1","0","","needs_fix","Commerce/add-to-cart signals remain visible to the scanner."
"sitemap","desktop-1440","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/sitemap-desktop-1440.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"sitemap","tablet-768","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/sitemap-tablet-768.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"sitemap","mobile-390","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/sitemap-mobile-390.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"professionals","desktop-1440","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/professionals-desktop-1440.png","0","3","2","1","TypeError: Failed to resolve module specifier ""@wordpress/interactivity"". Relative references must start with either ""/"", ""./"", or ""../"".","needs_fix","Duplicate H1 and interactivity module error remain."
"professionals","tablet-768","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/professionals-tablet-768.png","0","3","2","1","TypeError: Failed to resolve module specifier ""@wordpress/interactivity"". Relative references must start with either ""/"", ""./"", or ""../"".","needs_fix","Duplicate H1 and interactivity module error remain."
"professionals","mobile-390","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/professionals-mobile-390.png","0","3","2","1","TypeError: Failed to resolve module specifier ""@wordpress/interactivity"". Relative references must start with either ""/"", ""./"", or ""../"".","needs_fix","Duplicate H1 and interactivity module error remain."
"dimri-yama-sde-dov","desktop-1440","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/dimri-yama-sde-dov-desktop-1440.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"dimri-yama-sde-dov","tablet-768","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/dimri-yama-sde-dov-tablet-768.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
"dimri-yama-sde-dov","mobile-390","docs/qa/screenshots/stage1-public-trust-current-2026-06-23/dimri-yama-sde-dov-mobile-390.png","0","1","1","0","","usable_evidence_not_final_clearance","Scanner still flags commerce/theme leakage; review before final trust clearance."
